Concentrix Price to Free Cash Flow Ratio Historical Data,Concentrix Price to Free Cash Flow Ratio Historical Data,Concentrix Price to Free Cash Flow Ratio Historical Data,Concentrix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.32,,8.59
2024-08-31,75.23,$5.86,12.84
2024-05-31,61.33,$7.14,8.59
2024-02-29,72.45,$6.40,11.33
2023-11-30,93.99,$9.21,10.2
2023-08-31,79.83,$10.21,7.82
2023-05-31,87.7,$9.41,9.32
2023-02-28,136.84,$10.16,13.47
2022-11-30,122.38,$8.90,13.74
2022-08-31,125.78,$8.02,15.69
2022-05-31,154.6,$6.51,23.73
2022-02-28,199.21,$7.14,27.89
2021-11-30,165.2,$7.03,23.49
