Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data,Seadrill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.66,,4.89
2024-06-30,51.5,$7.70,6.69
2024-03-31,50.3,$2.63,19.11
2023-12-31,47.28,$2.70,17.49
2023-09-30,44.79,$0.41,110.37
