Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,278.85,,0.0
2024-06-30,256.22,$-11.02,0.0
2024-03-31,240.55,$-11.61,0.0
2023-12-31,269.88,$-9.42,0.0
2023-09-30,277.57,$-6.27,0.0
2023-06-30,291.57,$-3.43,0.0
2023-03-31,277.95,$-0.37,0.0
2022-12-31,296.52,$0.26,1157.37
2022-09-30,222.69,$1.30,170.69
2022-06-30,228.52,$1.46,156.8
2022-03-31,235.89,$1.97,119.86
2021-12-31,285.34,$4.13,69.17
2021-09-30,239.01,$4.08,58.54
2021-06-30,266.91,$6.68,39.98
2021-03-31,259.67,$3.72,69.79
2020-12-31,250.84,$3.21,78.06
2020-09-30,272.13,$3.76,72.36
2020-06-30,219.61,$2.43,90.4
2020-03-31,180.55,$4.69,38.48
2019-12-31,211.13,$4.38,48.15
2019-09-30,198.35,$4.47,44.34
2019-06-30,201.33,$3.52,57.19
2019-03-31,168.97,$3.55,47.53
2018-12-31,140.77,$4.37,32.19
2018-09-30,146.92,$4.65,31.57
2018-06-30,136.07,$6.57,20.71
2018-03-31,137.98,$7.98,17.29
2017-12-31,141.38,$6.81,20.75
2017-09-30,128.75,$6.97,18.48
2017-06-30,121.81,$6.20,19.66
2017-03-31,114.42,$5.86,19.53
2016-12-31,120.79,$7.15,16.91
2016-09-30,115.47,$6.39,18.06
2016-06-30,109.09,$4.88,22.37
2016-03-31,109.96,$4.72,23.3
2015-12-31,98.73,$4.95,19.95
2015-09-30,96.22,$4.33,22.25
2015-06-30,102.54,$5.83,17.6
2015-03-31,112.7,$4.67,24.14
2014-12-31,106.89,$3.51,30.46
2014-09-30,95.97,$4.06,23.66
2014-06-30,94.28,$2.21,42.71
2014-03-31,86.74,$1.96,44.28
2013-12-31,80.91,$1.49,54.28
2013-09-30,76.66,$0.38,199.22
2013-06-30,65.44,$0.77,84.78
2013-03-31,61.78,$0.85,72.35
2012-12-31,59.1,$0.59,100.85
2012-09-30,57.72,$1.38,41.78
2012-06-30,55.92,$1.61,34.83
2012-03-31,63.07,$1.96,32.22
2011-12-31,58.12,$2.37,24.52
2011-09-30,51.75,$2.22,23.33
2011-06-30,64.3,$2.14,29.99
2011-03-31,60.29,$2.61,23.11
2010-12-31,60.42,$3.19,18.93
2010-09-30,54.72,$2.53,21.65
2010-06-30,42.57,$2.42,17.61
2010-03-31,48.21,$1.82,26.56
2009-12-31,52.5,$0.60,87.77
