Li Auto Price to Free Cash Flow Ratio Historical Data,Li Auto Price to Free Cash Flow Ratio Historical Data,Li Auto Price to Free Cash Flow Ratio Historical Data,Li Auto Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.75,,289.28
2024-06-30,17.88,$0.08,217.78
2023-06-30,35.1,$2.08,16.86
2023-03-31,24.95,$1.01,24.72
2022-03-31,25.81,$0.29,89.12
