Jones Lang LaSalle Price to Free Cash Flow Ratio Historical Data,Jones Lang LaSalle Price to Free Cash Flow Ratio Historical Data,Jones Lang LaSalle Price to Free Cash Flow Ratio Historical Data,Jones Lang LaSalle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,265.7,,27.23
2024-06-30,205.28,$9.76,21.04
2024-03-31,195.09,$9.23,21.15
2023-12-31,188.87,$8.05,23.45
2023-09-30,141.18,$4.92,28.68
2023-06-30,155.8,$0.75,206.82
2023-03-31,145.49,$-1.25,0.0
2022-12-31,159.37,$-0.12,0.0
2022-09-30,151.07,$2.34,64.7
2022-06-30,174.86,$8.72,20.05
2022-03-31,239.46,$9.84,24.34
2021-12-31,269.34,$15.30,17.61
2021-09-30,248.09,$15.57,15.94
2021-06-30,195.46,$14.76,13.24
2021-03-31,179.04,$20.21,8.86
2020-12-31,148.37,$18.46,8.04
2020-09-30,95.66,$18.16,5.27
2020-06-30,103.46,$16.00,6.47
2020-03-31,100.98,$7.72,13.08
2019-12-31,174.09,$6.02,28.91
2019-09-30,138.69,$4.69,29.6
2019-06-30,140.32,$4.69,29.92
2019-03-31,153.29,$3.21,47.7
2018-12-31,125.87,$9.63,13.07
2018-09-30,143.06,$7.82,18.28
2018-06-30,164.54,$8.99,18.29
2018-03-31,172.7,$12.93,13.36
2017-12-31,147.28,$14.15,10.41
2017-09-30,121.83,$10.40,11.72
2017-06-30,123.31,$5.18,23.79
2017-03-31,109.61,$-11.78,0.0
2016-12-31,99.37,$1.02,97.14
2016-09-30,111.52,$-2.05,0.0
2016-06-30,95.5,$-0.89,0.0
2015-12-31,156.23,$5.15,30.31
2015-09-30,140.26,$6.58,21.32
2015-06-30,166.82,$6.59,25.3
2015-03-31,165.97,$6.32,26.27
2014-12-31,146.03,$7.58,19.26
2014-09-30,122.83,$6.26,19.61
2014-06-30,122.88,$5.54,22.19
2014-03-31,114.99,$4.81,23.91
2013-12-31,99.35,$4.40,22.6
2013-09-30,84.51,$2.43,34.83
2013-06-30,88.23,$2.73,32.26
2013-03-31,96.02,$2.84,33.8
2012-12-31,81.08,$5.16,15.71
2012-09-30,73.55,$4.43,16.6
2012-06-30,67.79,$3.12,21.72
2012-03-31,80.05,$2.88,27.81
2011-12-31,58.86,$2.70,21.8
2011-09-30,49.66,$3.51,14.13
2011-06-30,90.39,$5.88,15.36
2011-03-31,95.45,$11.70,8.16
2010-12-31,80.31,$7.64,10.52
2010-09-30,82.47,$7.00,11.79
2010-06-30,62.75,$6.21,10.1
2016-03-31,114.66,$-3.23,0.0
2009-12-31,57.66,$5.35,10.77
2009-09-30,45.14,$-3.14,0.0
