Trump Media & Technology Group Price to Free Cash Flow Ratio Historical Data,Trump Media & Technology Group Price to Free Cash Flow Ratio Historical Data,Trump Media & Technology Group Price to Free Cash Flow Ratio Historical Data,Trump Media & Technology Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.9,,0.0
2024-06-30,32.75,$-0.83,0.0
2024-03-31,61.96,$-0.77,0.0
2023-12-31,17.5,$-0.71,0.0
2023-09-30,16.42,$-0.26,0.0
2023-06-30,12.56,$-0.16,0.0
2023-03-31,14.05,$-0.16,0.0
2022-12-31,15.0,$-0.20,0.0
2022-09-30,16.81,$-0.32,0.0
2022-06-30,24.16,$-0.25,0.0
