DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data,DICK'S Sporting Goods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,215.04,,24.22
2024-07-31,215.24,$8.88,24.24
2024-04-30,198.89,$13.31,14.94
2024-01-31,146.83,$10.94,13.42
2023-10-31,104.62,$12.30,8.5
2023-07-31,136.73,$11.40,11.99
2023-04-30,139.59,$5.37,25.99
2023-01-31,125.02,$5.62,22.25
2022-10-31,108.33,$2.65,40.88
2022-07-31,88.74,$3.39,26.2
2022-04-30,90.87,$7.16,12.69
2022-01-31,108.29,$11.94,9.07
2021-10-31,116.1,$13.29,8.74
2021-07-31,93.16,$13.43,6.94
2021-04-30,73.6,$15.79,4.66
2021-01-31,59.44,$18.71,3.18
2020-10-31,49.97,$9.43,5.3
2020-07-31,40.01,$11.66,3.43
2020-01-31,37.85,$2.10,18.01
2019-10-31,33.13,$4.12,8.05
2019-07-31,31.41,$3.66,8.57
2019-04-30,31.01,$0.41,74.96
2019-01-31,29.36,$6.14,4.78
2020-04-30,25.58,$-3.02,0.0
2018-10-31,29.22,$5.25,5.56
2018-07-31,28.03,$4.65,6.03
2018-04-30,27.01,$2.55,10.58
2018-01-31,25.5,$2.53,10.09
2017-10-31,19.72,$1.65,11.97
2017-07-31,29.9,$2.98,10.05
2017-04-30,40.31,$3.12,12.94
2017-01-31,41.0,$3.09,13.26
2016-10-31,44.11,$2.74,16.12
2016-07-31,40.55,$2.19,18.53
2016-04-30,36.51,$1.94,18.85
2016-01-31,30.69,$2.40,12.79
2015-10-31,34.86,$2.17,16.09
2015-07-31,39.78,$2.51,15.82
2015-04-30,42.23,$2.27,18.6
2015-01-31,40.1,$2.12,18.92
2014-10-31,35.13,$1.56,22.53
2014-07-31,32.84,$1.67,19.63
2014-04-30,40.55,$1.40,28.88
2014-01-31,40.34,$0.94,42.87
2013-10-31,40.78,$0.31,133.37
2013-07-31,39.3,$1.25,31.46
2013-04-30,36.67,$1.34,27.44
2013-01-31,36.1,$1.74,20.75
2012-10-31,36.24,$1.96,18.48
2012-07-31,35.51,$1.11,31.95
2012-04-30,36.47,$1.57,23.24
2012-01-31,29.62,$1.66,17.86
2011-10-31,27.75,$2.12,13.1
2011-07-31,26.27,$2.18,12.07
2011-04-30,29.06,$1.84,15.82
2011-01-31,25.62,$1.90,13.51
2010-10-31,20.46,$1.03,19.79
2010-07-31,18.68,$1.47,12.68
2010-04-30,20.66,$1.88,11.01
2010-01-31,15.88,$2.21,7.18
2009-10-31,16.11,$-0.19,0.0
