Nu Holdings Price to Free Cash Flow Ratio Historical Data,Nu Holdings Price to Free Cash Flow Ratio Historical Data,Nu Holdings Price to Free Cash Flow Ratio Historical Data,Nu Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.16,,44.39
2024-06-30,12.89,$0.32,40.41
2024-03-31,11.93,$0.12,98.51
2023-12-31,8.33,$0.26,32.48
2023-09-30,7.25,$-0.25,0.0
2023-06-30,7.89,$0.41,19.21
2023-03-31,4.76,$0.16,29.73
2022-12-31,4.07,$0.16,25.87
2022-09-30,4.4,$0.11,41.16
