United Therapeutics Price to Free Cash Flow Ratio Historical Data,United Therapeutics Price to Free Cash Flow Ratio Historical Data,United Therapeutics Price to Free Cash Flow Ratio Historical Data,United Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,372.81,,20.57
2024-06-30,318.55,$18.12,17.58
2024-03-31,229.72,$15.13,15.19
2023-12-31,219.89,$15.04,14.62
2023-09-30,225.87,$15.47,14.6
2023-06-30,220.75,$13.66,16.16
2023-03-31,223.96,$14.64,15.3
2022-12-31,278.09,$13.68,20.32
2022-09-30,209.38,$14.06,14.9
2022-06-30,235.64,$13.64,17.28
2022-03-31,179.41,$14.16,12.67
2021-12-31,216.08,$10.09,21.41
2021-09-30,184.58,$10.40,17.75
2021-06-30,179.41,$12.31,14.58
2021-03-31,167.27,$12.80,13.06
2020-12-31,151.79,$15.67,9.69
2020-09-30,101.0,$14.85,6.8
2020-06-30,121.0,$13.47,8.98
2020-03-31,94.83,$-15.56,0.0
2019-12-31,88.08,$-19.36,0.0
2019-09-30,79.75,$-16.76,0.0
2019-06-30,78.06,$-17.69,0.0
2018-12-31,108.9,$13.50,8.07
2018-09-30,127.88,$36.49,3.5
2018-06-30,113.15,$17.22,6.57
2018-03-31,112.36,$19.91,5.64
2017-12-31,147.95,$15.70,9.43
2019-03-31,117.37,$-3.37,0.0
2017-09-30,117.19,$14.61,8.02
2017-06-30,129.73,$13.78,9.41
2017-03-31,135.38,$15.12,8.95
2016-12-31,143.43,$12.94,11.08
2016-09-30,118.08,$9.64,12.25
2016-06-30,105.92,$8.82,12.01
2016-03-31,111.43,$6.76,16.49
2015-12-31,156.61,$6.50,24.08
2015-09-30,131.24,$7.79,16.84
2015-06-30,173.95,$7.96,21.85
2015-03-31,172.44,$6.31,27.33
2014-12-31,129.49,$5.68,22.79
2014-09-30,128.65,$6.40,20.11
2014-06-30,88.49,$4.58,19.34
2014-03-31,94.03,$7.23,13.01
2013-12-31,113.08,$7.39,15.3
2013-09-30,78.85,$7.22,10.92
2013-06-30,65.82,$6.49,10.14
2013-03-31,60.87,$5.81,10.48
2012-12-31,53.42,$3.97,13.44
2012-09-30,55.88,$3.35,16.7
2012-06-30,49.38,$2.79,17.7
2012-03-31,47.13,$2.81,16.79
2011-12-31,47.25,$3.61,13.1
2011-09-30,37.49,$3.24,11.56
2011-06-30,55.1,$3.82,14.43
2011-03-31,67.02,$3.53,19.0
2010-12-31,63.22,$3.24,19.51
2010-09-30,56.01,$2.73,20.54
2010-06-30,48.81,$0.93,52.32
2010-03-31,55.33,$0.86,64.45
2009-12-31,52.65,$0.08,683.77
