Credo Technology Price to Free Cash Flow Ratio Historical Data,Credo Technology Price to Free Cash Flow Ratio Historical Data,Credo Technology Price to Free Cash Flow Ratio Historical Data,Credo Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,37.61,,0.0
2024-07-31,27.75,$-0.10,0.0
2024-04-30,17.87,$0.11,162.16
2024-01-31,20.51,$-0.02,0.0
2023-10-31,14.22,$-0.02,0.0
2023-07-31,16.97,$-0.07,0.0
2023-04-30,8.11,$-0.32,0.0
2023-01-31,17.33,$-0.19,0.0
2022-10-31,13.74,$-0.69,0.0
