ReNew Energy Global Price to Free Cash Flow Ratio Historical Data,ReNew Energy Global Price to Free Cash Flow Ratio Historical Data,ReNew Energy Global Price to Free Cash Flow Ratio Historical Data,ReNew Energy Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.01,,0.0
2024-06-30,6.24,$-2.95,0.0
2024-03-31,6.0,$-2.78,0.0
2023-12-31,7.66,$-2.51,0.0
2023-09-30,5.43,$-1.63,0.0
2023-06-30,5.48,$-0.84,0.0
2023-03-31,5.62,$-0.66,0.0
2022-12-31,5.5,$-0.54,0.0
2022-09-30,6.02,$0.26,23.29
2022-06-30,6.47,$-2.04,0.0
2022-03-31,8.22,$-1.69,0.0
2021-12-31,7.78,$-1.66,0.0
