Integra LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Integra LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Integra LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data,Integra LifeSciences Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,19.76,,26.65
2024-06-30,29.14,$0.74,39.3
2024-03-31,35.45,$0.76,46.51
2023-12-31,43.55,$0.91,47.87
2023-09-30,38.19,$1.47,26.04
2023-06-30,41.13,$2.00,20.54
2023-03-31,57.41,$2.53,22.7
2022-12-31,56.07,$2.79,20.07
2022-09-30,42.36,$2.30,18.4
2022-06-30,54.03,$2.47,21.86
2022-03-31,64.26,$2.78,23.14
2021-12-31,66.99,$3.09,21.66
2021-09-30,68.48,$3.45,19.88
2021-06-30,68.24,$3.31,20.64
2021-03-31,69.09,$2.66,25.98
2020-12-31,64.92,$1.98,32.82
2020-09-30,47.22,$1.90,24.83
2020-06-30,46.99,$1.75,26.79
2020-03-31,44.67,$1.77,25.28
2019-12-31,58.28,$1.87,31.13
2019-09-30,60.07,$1.35,44.65
2019-06-30,55.85,$1.46,38.24
2019-03-31,55.72,$1.28,43.43
2018-12-31,45.1,$1.46,30.96
2018-09-30,65.87,$1.20,54.99
2018-06-30,64.41,$0.96,67.33
2018-03-31,55.34,$0.98,56.49
2017-12-31,47.86,$0.90,53.08
2017-09-30,50.48,$0.76,66.19
2017-06-30,54.51,$0.77,70.57
2017-03-31,42.13,$0.94,44.7
2016-12-31,42.9,$0.88,48.96
2016-09-30,41.28,$1.20,34.31
2016-06-30,39.89,$0.90,44.29
2016-03-31,33.68,$0.79,42.61
2015-12-31,33.89,$1.02,33.18
2015-09-30,29.78,$1.06,28.06
2015-06-30,30.59,$1.26,24.29
2015-03-31,28.0,$1.10,25.38
2014-12-31,24.63,$0.69,35.89
2014-09-30,22.54,$0.60,37.49
2014-06-30,21.37,$0.54,39.58
2014-03-31,20.88,$0.24,85.94
2013-12-31,21.67,$0.20,108.49
2013-09-30,18.28,$-0.41,0.0
2013-06-30,16.63,$-0.58,0.0
2013-03-31,17.71,$-0.60,0.0
2012-12-31,17.7,$-0.17,0.0
2012-09-30,18.66,$0.67,27.84
2012-06-30,16.88,$0.75,22.53
2012-03-31,15.75,$1.25,12.63
2011-12-31,14.0,$1.12,12.53
2011-09-30,16.24,$0.93,17.49
2011-06-30,21.71,$1.09,19.96
2011-03-31,21.53,$1.02,21.14
2010-12-31,21.48,$1.13,18.93
2010-09-30,17.92,$1.58,11.31
2010-06-30,16.8,$1.58,10.61
2010-03-31,19.9,$1.80,11.05
2009-12-31,16.74,$2.01,8.31
