Duckhorn Portfolio Price to Free Cash Flow Ratio Historical Data,Duckhorn Portfolio Price to Free Cash Flow Ratio Historical Data,Duckhorn Portfolio Price to Free Cash Flow Ratio Historical Data,Duckhorn Portfolio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.97,,0.0
2024-07-31,7.26,$-0.19,0.0
2024-04-30,8.47,$-0.54,0.0
2024-01-31,8.63,$-0.44,0.0
2023-10-31,10.43,$-0.13,0.0
2023-07-31,12.58,$-0.02,0.0
2023-04-30,15.1,$0.34,43.91
2023-01-31,16.18,$0.31,52.84
2022-10-31,14.62,$0.24,59.72
2022-07-31,18.34,$0.22,84.28
2022-04-30,19.42,$0.40,49.02
2022-01-31,19.96,$0.44,45.87
