Buenaventura Mining Price to Free Cash Flow Ratio Historical Data,Buenaventura Mining Price to Free Cash Flow Ratio Historical Data,Buenaventura Mining Price to Free Cash Flow Ratio Historical Data,Buenaventura Mining Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.34,,521.09
2024-06-30,16.95,$0.03,662.11
2024-03-31,15.81,$0.12,128.3
2023-12-31,15.17,$-0.01,0.0
2023-09-30,8.48,$-0.03,0.0
2023-06-30,7.32,$-0.29,0.0
2023-03-31,8.06,$-0.34,0.0
2022-12-31,7.34,$-0.38,0.0
2022-09-30,6.63,$-0.01,0.0
2022-06-30,6.51,$-1.79,0.0
2022-03-31,9.86,$-1.65,0.0
2021-12-31,7.16,$-1.27,0.0
2021-09-30,6.62,$-1.60,0.0
2021-06-30,8.86,$0.65,13.6
2021-03-31,9.82,$0.25,39.49
2020-12-31,11.93,$0.38,31.8
2020-09-30,11.96,$0.16,72.92
2020-06-30,8.95,$-0.12,0.0
2020-03-31,7.13,$0.12,59.26
2019-12-31,14.78,$-0.22,0.0
2019-09-30,14.83,$0.23,63.35
2019-06-30,16.29,$0.23,71.93
2019-03-31,16.82,$0.56,29.92
2018-12-31,15.79,$0.93,16.9
2018-09-30,13.0,$0.79,16.54
2018-06-30,13.21,$0.91,14.51
2018-03-31,14.74,$0.26,56.33
2017-12-31,13.62,$-0.18,0.0
2017-09-30,12.35,$-0.12,0.0
2017-06-30,11.1,$-0.60,0.0
2017-03-31,11.57,$-0.54,0.0
2016-12-31,10.84,$0.13,86.72
2016-09-30,13.27,$-0.04,0.0
2016-06-30,11.46,$0.02,487.49
2016-03-31,7.06,$0.11,66.38
2015-12-31,4.1,$-0.31,0.0
2015-09-30,5.71,$-0.29,0.0
2015-06-30,9.95,$0.02,540.81
2015-03-31,9.71,$0.01,942.83
2014-12-31,9.16,$-0.25,0.0
2014-09-30,11.07,$-0.02,0.0
2014-06-30,11.29,$-0.26,0.0
2014-03-31,12.01,$-0.48,0.0
2013-12-31,10.72,$-0.31,0.0
2013-09-30,11.18,$-0.73,0.0
2013-06-30,14.09,$-0.62,0.0
2013-03-31,24.48,$-0.72,0.0
2012-12-31,33.9,$-0.42,0.0
2012-09-30,36.52,$0.06,606.61
2012-06-30,35.6,$0.48,73.77
2012-03-31,37.42,$1.06,35.34
2011-12-31,35.59,$1.07,33.36
2011-09-30,34.85,$1.55,22.51
2011-06-30,35.07,$1.47,23.85
2011-03-31,39.37,$1.38,28.6
2010-12-31,44.86,$1.18,38.07
2010-09-30,41.27,$0.79,52.03
2010-06-30,35.11,$0.91,38.45
2010-03-31,28.03,$1.46,19.24
2009-12-31,30.3,$1.46,20.78
