Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data,Delek Logistics Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.83,,7.43
2024-06-30,39.38,$5.23,7.53
2024-03-31,38.8,$3.71,10.47
2023-12-31,39.94,$3.00,13.3
2023-09-30,37.98,$-2.68,0.0
2023-06-30,48.2,$-0.86,0.0
2023-03-31,40.91,$0.35,116.99
2022-12-31,39.04,$1.18,33.17
2022-09-30,43.17,$6.05,7.14
2022-06-30,40.53,$4.85,8.35
2022-03-31,35.91,$4.30,8.34
2021-12-31,34.14,$5.07,6.74
2021-09-30,35.42,$5.96,5.95
2021-06-30,32.11,$6.03,5.33
2020-12-31,23.34,$2.36,9.89
2020-09-30,20.03,$4.43,4.52
2020-06-30,15.75,$3.85,4.09
2020-03-31,5.96,$3.48,1.71
2019-12-31,20.37,$7.28,2.8
2021-03-31,26.91,$4.64,5.8
2019-09-30,19.4,$7.09,2.74
2019-06-30,19.33,$5.90,3.28
2019-03-31,19.08,$5.98,3.19
2018-12-31,16.74,$2.79,5.99
2018-09-30,18.98,$-0.72,0.0
2018-06-30,15.03,$-0.03,0.0
2018-03-31,15.01,$-0.20,0.0
2017-12-31,16.4,$2.73,6.0
2017-09-30,15.8,$3.16,5.0
2017-06-30,16.21,$3.41,4.76
2017-03-31,16.12,$3.77,4.28
2016-12-31,13.56,$3.97,3.41
2016-09-30,13.19,$3.27,4.03
2016-06-30,12.03,$2.85,4.22
2016-03-31,13.88,$2.63,5.27
2015-12-31,15.44,$2.01,7.7
2015-09-30,12.85,$2.76,4.66
2015-06-30,19.34,$2.88,6.72
2015-03-31,18.05,$3.06,5.9
2014-12-31,14.53,$3.13,4.64
2014-09-30,16.48,$2.08,7.93
2014-06-30,13.75,$1.90,7.23
2014-03-31,13.13,$1.15,11.42
2013-12-31,12.32,$0.45,27.11
2013-09-30,11.75,$0.82,14.37
