Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Grupo Aeroportuario Del Centro Norte S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.04,,10.32
2024-06-30,67.65,$6.69,10.11
2024-03-31,76.77,$7.75,9.91
2023-12-31,82.14,$7.26,11.31
2023-09-30,84.36,$6.83,12.35
2023-06-30,81.84,$6.75,12.13
2023-03-31,84.18,$5.67,14.85
2022-12-31,56.96,$5.05,11.27
2022-09-30,46.18,$4.51,10.24
2022-06-30,46.68,$4.30,10.86
2022-03-31,52.67,$4.37,12.06
2021-12-31,43.83,$4.37,10.02
2021-09-30,36.86,$3.92,9.39
2021-06-30,41.07,$2.84,14.44
2021-03-31,39.74,$1.17,33.97
2020-12-31,40.65,$1.18,34.31
2020-09-30,28.92,$1.61,18.01
2020-06-30,29.22,$2.35,12.42
2020-03-31,21.19,$3.54,5.98
2019-12-31,47.15,$3.95,11.93
2019-09-30,37.41,$3.60,10.38
2019-06-30,38.45,$3.79,10.14
2019-03-31,34.29,$3.88,8.83
2018-12-31,28.91,$3.62,7.99
2018-09-30,43.31,$3.19,13.56
2018-06-30,31.67,$2.90,10.92
2018-03-31,28.77,$3.02,9.53
2017-12-31,30.28,$2.78,10.89
2017-09-30,32.4,$2.99,10.84
2017-06-30,35.17,$2.85,12.33
2017-03-31,30.34,$2.52,12.04
2016-12-31,24.27,$2.26,10.72
2016-09-30,33.07,$2.47,13.39
2016-06-30,33.34,$2.22,15.02
2016-03-31,30.91,$2.19,14.14
2015-12-31,26.07,$2.45,10.66
2015-09-30,26.89,$2.01,13.37
2015-06-30,26.61,$2.27,11.72
2015-03-31,26.38,$2.33,11.3
2014-12-31,24.64,$1.98,12.44
2014-09-30,23.95,$2.16,11.09
2014-06-30,21.87,$1.56,14.07
2014-03-31,19.63,$1.44,13.62
2013-12-31,18.1,$1.58,11.49
2013-09-30,17.46,$1.61,10.86
2013-06-30,16.97,$1.84,9.22
2013-03-31,20.74,$1.61,12.88
2012-12-31,13.51,$1.67,8.1
2012-09-30,11.15,$1.46,7.64
2012-06-30,10.19,$1.24,8.24
2012-03-31,9.41,$1.31,7.21
2011-12-31,7.28,$1.04,7.02
2011-09-30,7.46,$0.96,7.8
2011-06-30,9.87,$1.17,8.41
2011-03-31,8.48,$1.06,7.98
2010-12-31,8.61,$0.78,11.04
2010-09-30,8.05,$0.41,19.71
2010-06-30,6.92,$0.19,36.66
2010-03-31,8.13,$0.24,33.36
2009-12-31,7.11,$0.32,22.17
