Rumble Price to Free Cash Flow Ratio Historical Data,Rumble Price to Free Cash Flow Ratio Historical Data,Rumble Price to Free Cash Flow Ratio Historical Data,Rumble Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.68,,0.0
2024-06-30,5.55,$-0.61,0.0
2024-03-31,8.08,$-0.65,0.0
2023-12-31,4.49,$-0.53,0.0
2023-09-30,5.1,$-0.39,0.0
2023-06-30,8.92,$-0.30,0.0
2023-03-31,10.0,$-0.20,0.0
2022-12-31,5.95,$-0.17,0.0
2022-09-30,12.25,$-0.07,0.0
2022-06-30,9.97,$-0.11,0.0
2022-03-31,11.87,$-0.06,0.0
