QuantumScape Price to Free Cash Flow Ratio Historical Data,QuantumScape Price to Free Cash Flow Ratio Historical Data,QuantumScape Price to Free Cash Flow Ratio Historical Data,QuantumScape Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.34,,0.0
2024-06-30,4.92,$-0.63,0.0
2024-03-31,6.29,$-0.64,0.0
2023-12-31,6.95,$-0.70,0.0
2023-09-30,6.69,$-0.77,0.0
2023-06-30,7.99,$-0.87,0.0
2023-03-31,8.18,$-0.87,0.0
2022-12-31,5.67,$-0.87,0.0
2022-09-30,8.41,$-0.87,0.0
2022-06-30,8.59,$-0.77,0.0
2022-03-31,19.99,$-0.73,0.0
2021-12-31,22.19,$-0.62,0.0
2021-09-30,24.54,$-0.73,0.0
