Establishment Labs Holdings Price to Free Cash Flow Ratio Historical Data,Establishment Labs Holdings Price to Free Cash Flow Ratio Historical Data,Establishment Labs Holdings Price to Free Cash Flow Ratio Historical Data,Establishment Labs Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.29,,0.0
2024-06-30,45.44,$-3.07,0.0
2024-03-31,50.9,$-3.93,0.0
2023-12-31,25.89,$-4.36,0.0
2023-09-30,49.07,$-4.83,0.0
2023-06-30,68.61,$-4.48,0.0
2023-03-31,67.74,$-3.11,0.0
2022-12-31,65.65,$-2.54,0.0
2022-09-30,54.61,$-2.10,0.0
2022-06-30,54.38,$-1.11,0.0
2021-12-31,67.59,$-1.39,0.0
2021-09-30,71.58,$-1.06,0.0
2021-06-30,87.34,$-0.92,0.0
2021-03-31,62.53,$-1.06,0.0
2020-12-31,37.64,$-1.03,0.0
2022-03-31,67.39,$-1.25,0.0
2020-09-30,18.53,$-1.07,0.0
2020-06-30,18.68,$-1.42,0.0
2020-03-31,14.45,$-1.68,0.0
2019-12-31,27.66,$-1.80,0.0
2019-09-30,18.91,$-2.52,0.0
2019-06-30,21.99,$-3.29,0.0
