Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,96.83,,4.83
2024-06-30,88.88,$20.06,4.43
2024-03-31,90.47,$20.38,4.44
2023-12-31,87.72,$19.50,4.5
2023-09-30,73.97,$18.69,3.96
2023-06-30,48.9,$17.27,2.83
2023-03-31,47.7,$15.13,3.15
2022-12-31,46.86,$13.63,3.44
2022-09-30,37.54,$13.03,2.88
2022-06-30,31.05,$9.94,3.12
2022-03-31,35.09,$6.22,5.64
2021-12-31,27.11,$5.50,4.93
2021-09-30,18.92,$3.62,5.23
2021-06-30,16.6,$4.44,3.74
2021-03-31,12.33,$8.31,1.48
2020-12-31,10.24,$7.33,1.4
2020-09-30,8.63,$12.60,0.68
2020-06-30,8.49,$10.24,0.83
2020-03-31,8.49,$11.47,0.74
2019-12-31,13.69,$11.73,1.17
2019-09-30,16.94,$9.87,1.72
2019-06-30,23.32,$11.71,1.99
2019-03-31,26.79,$9.69,2.76
2018-12-31,24.12,$9.46,2.55
2018-09-30,19.29,$7.64,2.53
2018-06-30,19.27,$7.07,2.73
2018-03-31,17.38,$5.58,3.11
2017-12-31,15.5,$5.84,2.65
2017-09-30,14.5,$6.14,2.36
2017-06-30,15.89,$10.00,1.59
2017-03-31,20.57,$10.34,1.99
2016-12-31,18.16,$13.90,1.31
2016-09-30,15.46,$15.18,1.02
2016-06-30,7.82,$14.40,0.54
2016-03-31,3.95,$17.01,0.23
2015-12-31,6.44,$17.03,0.38
2015-09-30,12.57,$17.15,0.73
2015-06-30,18.1,$18.29,0.99
2015-03-31,31.82,$19.74,1.61
2014-12-31,41.75,$18.48,2.26
2014-09-30,57.23,$19.34,2.96
2014-06-30,71.19,$20.29,3.51
2014-03-31,66.9,$-1.81,0.0
2013-12-31,82.02,$2.91,28.21
2013-09-30,76.33,$4.88,15.65
2013-06-30,80.22,$6.61,12.14
2012-12-31,68.84,$27.87,2.47
2012-09-30,75.01,$44.90,1.67
2012-06-30,78.05,$41.74,1.87
2012-03-31,82.55,$41.90,1.97
2011-12-31,91.44,$45.96,1.99
2013-03-31,89.08,$25.13,3.55
2011-09-30,83.97,$30.02,2.8
2011-06-30,107.95,$29.14,3.7
2011-03-31,112.25,$29.44,3.81
2010-12-31,104.7,$31.04,3.37
2010-09-30,82.86,$33.23,2.49
2010-06-30,71.6,$31.14,2.3
2010-03-31,77.69,$30.44,2.55
2009-12-31,70.23,$30.95,2.27
