Ryman Hospitality Properties Price to Free Cash Flow Ratio Historical Data,Ryman Hospitality Properties Price to Free Cash Flow Ratio Historical Data,Ryman Hospitality Properties Price to Free Cash Flow Ratio Historical Data,Ryman Hospitality Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,111.18,,28.72
2024-06-30,98.85,$3.87,25.53
2024-03-31,113.19,$4.98,22.71
2023-12-31,106.74,$6.03,17.69
2023-09-30,79.98,$6.53,12.25
2023-06-30,88.19,$6.39,13.79
2023-03-31,84.26,$6.13,13.74
2022-12-31,76.13,$5.97,12.76
2022-09-30,68.29,$4.74,14.41
2022-06-30,70.46,$3.93,17.91
2022-03-31,85.97,$1.21,70.92
2021-12-31,85.22,$0.21,396.57
2021-09-30,77.57,$-2.83,0.0
2021-06-30,73.18,$-4.30,0.0
2021-03-31,71.83,$-6.50,0.0
2020-12-31,62.8,$-5.95,0.0
2020-09-30,34.1,$-2.76,0.0
2020-06-30,32.07,$-0.98,0.0
2020-03-31,33.22,$3.08,10.79
2019-12-31,78.24,$3.89,20.12
2019-09-30,73.1,$3.15,23.24
2019-06-30,71.67,$3.23,22.18
2019-03-31,71.87,$2.78,25.89
2018-12-31,57.66,$2.60,22.21
2018-09-30,73.57,$2.27,32.34
2018-06-30,70.3,$2.24,31.38
2018-03-31,64.81,$2.12,30.54
2017-12-31,57.12,$2.20,25.91
2017-09-30,51.13,$2.91,17.55
2017-06-30,51.71,$2.71,19.1
2017-03-31,49.35,$2.66,18.58
2016-12-31,49.64,$3.42,14.5
2016-09-30,37.49,$3.53,10.61
2016-06-30,38.83,$3.67,10.58
2016-03-31,38.86,$4.06,9.57
2015-12-31,38.42,$3.07,12.53
2015-09-30,36.15,$3.50,10.34
2015-06-30,38.44,$3.33,11.55
2015-03-31,43.57,$3.06,14.24
2014-12-31,37.32,$3.47,10.76
2014-09-30,33.14,$2.67,12.42
2014-06-30,33.35,$2.90,11.5
2014-03-31,29.11,$2.65,10.98
2013-12-31,28.23,$1.60,17.6
2013-09-30,23.05,$1.29,17.93
2013-06-30,25.68,$0.95,26.96
2013-03-31,29.7,$1.17,25.43
2012-12-31,24.7,$1.71,14.47
2012-09-30,20.83,$1.75,11.89
2012-06-30,20.32,$1.24,16.4
2012-03-31,16.23,$1.06,15.37
2011-12-31,12.72,$0.43,29.7
2011-09-30,10.19,$-0.94,0.0
2011-06-30,15.81,$-2.17,0.0
2011-03-31,18.28,$-2.53,0.0
2010-12-31,18.94,$-1.17,0.0
2010-09-30,16.07,$0.40,40.0
2010-06-30,11.64,$1.95,5.98
2010-03-31,15.44,$2.71,5.7
2009-12-31,10.41,$1.64,6.36
