Doximity Price to Free Cash Flow Ratio Historical Data,Doximity Price to Free Cash Flow Ratio Historical Data,Doximity Price to Free Cash Flow Ratio Historical Data,Doximity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.86,,53.37
2024-06-30,27.97,$0.80,34.83
2024-03-31,26.91,$0.87,31.05
2023-12-31,28.04,$0.79,35.57
2023-09-30,21.22,$0.76,27.96
2023-06-30,34.02,$0.88,38.83
2023-03-31,32.38,$0.81,39.85
2022-12-31,33.56,$0.88,37.96
2022-09-30,30.22,$0.78,38.97
2022-06-30,34.82,$0.55,63.37
2022-03-31,52.09,$0.63,82.32
