Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,304.35,,24.1
2024-06-30,217.27,$12.63,17.21
2024-03-31,271.21,$12.64,21.46
2023-12-31,202.24,$12.07,16.75
2023-09-30,165.82,$11.77,14.09
2023-06-30,185.38,$11.71,15.83
2023-03-31,145.71,$11.65,12.51
2022-12-31,131.67,$13.04,10.1
2022-09-30,106.03,$12.07,8.79
2022-06-30,108.52,$11.36,9.55
2022-03-31,126.44,$10.82,11.68
2021-12-31,163.67,$11.45,14.29
2021-09-30,128.76,$12.10,10.64
2021-06-30,139.25,$14.75,9.44
2021-03-31,131.47,$14.09,9.33
2020-12-31,99.13,$12.51,7.92
2020-09-30,84.43,$13.30,6.35
2020-06-30,68.68,$8.00,8.59
2020-03-31,57.06,$6.59,8.66
2019-12-31,88.54,$7.84,11.3
2019-06-30,90.33,$3.92,23.03
2019-03-31,81.96,$3.91,20.94
2018-12-31,59.33,$4.90,12.1
2018-09-30,82.63,$2.06,40.07
2018-06-30,101.76,$2.65,38.39
2018-03-31,99.71,$3.46,28.84
2019-09-30,87.71,$2.98,29.43
2017-12-31,109.63,$4.33,25.32
2017-09-30,103.05,$6.97,14.78
2017-06-30,89.26,$6.45,13.84
2017-03-31,93.62,$6.37,14.7
2016-12-31,94.96,$7.77,12.22
2016-06-30,74.19,$4.58,16.21
2016-03-31,67.24,$3.52,19.11
2015-12-31,57.95,$2.32,25.0
2015-09-30,65.41,$1.11,58.76
2015-06-30,72.97,$0.76,95.42
2015-03-31,79.69,$2.09,38.08
2016-09-30,74.33,$2.94,25.26
2014-12-31,72.51,$2.56,28.32
2014-09-30,96.89,$2.81,34.5
2014-06-30,89.7,$2.61,34.32
2014-03-31,84.17,$2.23,37.82
2013-12-31,73.51,$1.93,38.06
2013-09-30,68.69,$1.18,58.09
2013-06-30,62.75,$1.14,55.0
2013-03-31,62.9,$1.51,41.7
2012-12-31,55.22,$1.90,29.09
2012-09-30,43.59,$1.61,27.07
2012-06-30,35.11,$1.16,30.27
2012-03-31,32.48,$0.78,41.61
2011-12-31,23.99,$0.48,50.1
2011-09-30,15.5,$0.57,27.09
2011-06-30,25.78,$0.27,96.46
2011-03-31,27.89,$0.62,44.95
2010-12-31,25.96,$0.19,138.58
2010-09-30,21.6,$0.54,40.29
2010-06-30,23.64,$1.06,22.39
2010-03-31,24.1,$1.15,20.9
2009-12-31,23.57,$3.11,7.58
