Warner Music Group Price to Free Cash Flow Ratio Historical Data,Warner Music Group Price to Free Cash Flow Ratio Historical Data,Warner Music Group Price to Free Cash Flow Ratio Historical Data,Warner Music Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.28,,25.01
2024-06-30,30.65,$1.29,23.75
2024-03-31,33.02,$1.20,27.5
2023-12-31,35.79,$1.23,29.05
2023-09-30,31.4,$1.09,28.92
2023-06-30,26.09,$1.22,21.4
2023-03-31,33.37,$1.25,26.73
2022-12-31,35.02,$1.36,25.75
2022-09-30,23.21,$1.18,19.68
2022-06-30,24.22,$0.84,28.8
2022-03-31,37.45,$0.73,51.25
2021-12-31,42.55,$0.95,44.77
2021-09-30,41.97,$1.06,39.54
2021-06-30,35.24,$0.96,36.73
2021-03-31,33.45,$1.30,25.82
