Mobileye Global Price to Free Cash Flow Ratio Historical Data,Mobileye Global Price to Free Cash Flow Ratio Historical Data,Mobileye Global Price to Free Cash Flow Ratio Historical Data,Mobileye Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.88,,57.27
2024-06-30,28.09,$0.22,124.93
2024-03-31,32.15,$0.21,153.68
2023-12-31,43.32,$0.37,117.81
2023-09-30,41.55,$0.83,49.92
