Longboard Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Longboard Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Longboard Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Longboard Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.17,,0.0
2024-06-30,27.03,$-1.96,0.0
2024-03-31,21.6,$-2.03,0.0
2023-12-31,6.03,$-2.24,0.0
2023-09-30,5.56,$-2.26,0.0
2023-06-30,7.34,$-0.29,0.0
2023-03-31,4.01,$-2.27,0.0
2022-12-31,3.26,$-2.22,0.0
2022-09-30,3.72,$-2.24,0.0
2022-06-30,3.09,$-4.03,0.0
2022-03-31,5.34,$-1.16,0.0
2021-12-31,4.88,$-1.72,0.0
