VIZIO Holding Price to Free Cash Flow Ratio Historical Data,VIZIO Holding Price to Free Cash Flow Ratio Historical Data,VIZIO Holding Price to Free Cash Flow Ratio Historical Data,VIZIO Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.27,,0.0
2024-06-30,10.8,$-0.04,0.0
2024-03-31,10.94,$-0.12,0.0
2023-12-31,7.7,$0.08,91.78
2023-09-30,5.41,$-0.05,0.0
2023-03-31,9.18,$0.06,155.86
2022-12-31,7.41,$0.08,89.38
2022-09-30,8.74,$0.34,25.77
2022-06-30,6.82,$-0.13,0.0
2022-03-31,8.89,$-0.12,0.0
2021-12-31,19.43,$-0.31,0.0
2023-06-30,6.75,$-0.15,0.0
