PROCEPT BioRobotics Price to Free Cash Flow Ratio Historical Data,PROCEPT BioRobotics Price to Free Cash Flow Ratio Historical Data,PROCEPT BioRobotics Price to Free Cash Flow Ratio Historical Data,PROCEPT BioRobotics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.08,,0.0
2024-06-30,61.09,$-2.15,0.0
2024-03-31,49.42,$-2.57,0.0
2023-12-31,41.91,$-2.82,0.0
2023-09-30,32.81,$-2.66,0.0
2023-06-30,35.35,$-2.73,0.0
2023-03-31,28.4,$-2.37,0.0
2022-12-31,41.54,$-1.87,0.0
2022-09-30,41.46,$-1.24,0.0
2022-06-30,32.69,$-4.32,0.0
