AeroVironment Price to Free Cash Flow Ratio Historical Data,AeroVironment Price to Free Cash Flow Ratio Historical Data,AeroVironment Price to Free Cash Flow Ratio Historical Data,AeroVironment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,215.63,,163.42
2024-07-31,178.54,$1.32,135.31
2024-04-30,159.79,$-0.28,0.0
2024-01-31,120.64,$0.38,317.56
2023-10-31,114.66,$-2.44,0.0
2023-07-31,95.26,$-1.35,0.0
2023-04-30,100.69,$-0.14,0.0
2023-01-31,88.97,$0.27,326.74
2022-10-31,91.5,$0.35,263.01
2022-07-31,86.64,$-0.03,0.0
2022-04-30,80.32,$-1.29,0.0
2022-01-31,56.92,$-1.43,0.0
2021-10-31,89.11,$0.26,348.9
2021-07-31,101.1,$1.31,77.42
2021-04-30,110.37,$3.09,35.72
2021-01-31,114.77,$3.21,35.8
2020-10-31,76.36,$2.70,28.25
2020-07-31,76.55,$1.47,52.17
2020-04-30,60.26,$0.58,103.99
2020-01-31,66.61,$1.02,64.99
2019-10-31,57.98,$0.86,67.5
2019-07-31,54.85,$0.65,84.0
2019-04-30,68.56,$0.75,91.44
2019-01-31,77.66,$1.51,51.46
2018-10-31,89.97,$1.44,62.48
2018-07-31,73.61,$1.71,42.99
2018-04-30,54.5,$2.53,21.53
2018-01-31,51.36,$1.24,41.49
2017-10-31,51.16,$0.76,67.61
2017-07-31,37.79,$0.40,95.24
2017-04-30,28.57,$-0.74,0.0
2017-01-31,26.19,$-0.53,0.0
2016-10-31,23.99,$0.64,37.51
2016-07-31,28.35,$0.36,78.68
2016-04-30,28.88,$-0.00,0.0
2016-01-31,25.51,$0.40,63.93
2015-10-31,23.07,$-0.13,0.0
2015-07-31,26.06,$0.25,102.56
2015-04-30,25.6,$1.47,17.36
2015-01-31,25.59,$1.97,12.99
2014-10-31,30.65,$2.37,12.94
2014-07-31,31.49,$2.66,11.82
2014-04-30,33.77,$1.18,28.56
2014-01-31,29.82,$0.70,42.62
2013-10-31,27.11,$0.07,362.43
2013-07-31,22.61,$0.91,24.81
2013-04-30,19.36,$0.78,24.9
2013-01-31,21.65,$0.33,66.11
2012-10-31,21.99,$-0.01,0.0
2012-07-31,23.36,$-0.71,0.0
2012-04-30,24.32,$0.17,143.74
2012-01-31,27.87,$0.98,28.54
2011-10-31,33.03,$1.59,20.74
2011-07-31,28.83,$1.34,21.57
2011-04-30,28.65,$1.06,27.01
2011-01-31,28.2,$1.88,15.02
2010-10-31,23.46,$1.45,16.18
2010-07-31,23.91,$0.71,33.47
2010-04-30,26.18,$1.15,22.84
2010-01-31,34.07,$-0.20,0.0
2009-10-31,26.66,$0.57,46.46
