Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data,Acuity Brands Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,306.58,,19.77
2024-05-31,259.46,$15.51,16.73
2024-02-29,250.94,$15.93,15.75
2023-11-30,178.94,$16.34,10.95
2023-08-31,160.87,$15.90,10.12
2023-05-31,150.19,$17.02,8.82
2023-02-28,193.16,$12.95,14.92
2022-11-30,187.39,$10.81,17.33
2022-08-31,163.01,$7.76,21.02
2022-05-31,173.9,$6.06,28.71
2022-02-28,181.07,$7.98,22.68
2021-11-30,199.79,$9.22,21.67
2021-08-31,182.98,$10.11,18.1
2021-05-31,184.05,$10.82,17.02
2021-02-28,122.08,$11.88,10.28
2020-11-30,117.41,$11.37,10.32
2020-08-31,107.94,$11.37,9.5
2020-05-31,84.97,$12.83,6.62
2020-02-29,101.29,$11.76,8.62
2019-11-30,128.65,$11.14,11.55
2019-08-31,123.24,$11.10,11.1
2019-05-31,121.41,$7.74,15.68
2019-02-28,127.62,$7.86,16.24
2018-11-30,127.39,$7.37,17.28
2018-08-31,149.59,$7.51,19.92
2018-05-31,115.62,$9.53,12.14
2018-02-28,139.27,$8.77,15.88
2017-11-30,167.31,$8.47,19.74
2017-08-31,172.41,$6.35,27.17
2017-05-31,158.78,$6.21,25.57
2017-02-28,205.78,$6.57,31.32
2016-11-30,244.69,$2.56,95.65
2016-08-31,267.63,$4.31,62.12
2016-05-31,251.86,$3.09,81.44
2016-02-29,203.52,$1.13,180.56
2015-08-31,189.13,$5.38,35.12
2015-05-31,171.18,$6.62,25.86
2015-02-28,153.59,$5.74,26.75
2014-11-30,133.82,$6.74,19.86
2014-08-31,119.83,$6.22,19.26
2015-11-30,224.23,$3.12,71.77
2014-05-31,121.27,$3.74,32.41
2014-02-28,136.14,$3.83,35.58
2013-11-30,98.86,$3.78,26.16
2013-08-31,82.33,$2.34,35.24
2013-05-31,72.18,$2.39,30.19
2013-02-28,65.38,$2.17,30.13
2012-11-30,63.36,$2.19,28.91
2012-08-31,61.33,$3.36,18.24
2012-05-31,51.98,$3.73,13.94
2012-02-29,59.17,$3.53,16.77
2011-11-30,47.7,$3.84,12.42
2011-08-31,43.58,$3.25,13.42
2011-05-31,57.56,$2.86,20.15
2011-02-28,53.25,$2.72,19.55
2010-11-30,50.62,$2.32,21.79
2010-08-31,36.32,$3.21,11.33
2010-05-31,38.44,$3.30,11.66
2010-02-28,36.32,$2.98,12.19
2009-11-30,29.98,$2.58,11.64
