RELX Price to Free Cash Flow Ratio Historical Data,RELX Price to Free Cash Flow Ratio Historical Data,RELX Price to Free Cash Flow Ratio Historical Data,RELX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.59,,inf
2023-12-31,38.95,0.0,0.0
2022-12-31,26.66,0.0,0.0
2022-06-30,25.75,0.0,0.0
2021-12-31,30.72,0.0,0.0
2021-06-30,24.96,0.0,0.0
2020-12-31,22.68,0.0,0.0
2020-06-30,21.48,0.0,0.0
2019-12-31,22.63,0.0,0.0
2019-06-30,21.71,0.0,0.0
2018-12-31,17.95,0.0,0.0
2018-06-30,18.88,0.0,0.0
2017-12-31,20.23,0.0,0.0
2017-06-30,18.57,0.0,0.0
2016-12-31,14.99,0.0,0.0
2015-12-31,14.51,0.0,0.0
2015-06-30,13.13,0.0,0.0
2014-12-31,13.51,0.0,0.0
2014-06-30,12.75,0.0,0.0
2013-12-31,11.6,0.0,0.0
2013-06-30,8.74,0.0,0.0
2012-12-31,7.88,0.0,0.0
2012-06-30,5.94,0.0,0.0
2011-12-31,5.8,0.0,0.0
2011-06-30,6.49,0.0,0.0
2010-12-31,5.81,0.0,0.0
