RLX Technology Price to Free Cash Flow Ratio Historical Data,RLX Technology Price to Free Cash Flow Ratio Historical Data,RLX Technology Price to Free Cash Flow Ratio Historical Data,RLX Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.63,,27.77
2024-06-30,1.84,$0.06,31.35
2024-03-31,1.92,$0.04,43.84
2023-12-31,2.0,$0.02,111.73
2023-09-30,1.51,$-0.04,0.0
2023-06-30,1.77,$-0.17,0.0
2023-03-31,2.9,$-0.01,0.0
2022-12-31,2.3,$0.05,47.03
2022-09-30,1.05,$0.11,9.45
2022-06-30,2.13,$0.22,9.75
2022-03-31,1.79,$0.14,12.85
2021-12-31,3.9,$0.19,20.99
