"Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data","Compania Cervecerias Unidas, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.15,,14.43
2024-06-30,11.38,$0.77,14.73
2024-03-31,11.82,$1.10,10.72
2023-12-31,12.36,$1.11,11.13
2023-09-30,12.22,$0.79,15.56
2023-06-30,15.73,$0.33,47.33
2023-03-31,15.09,$-0.53,0.0
2022-12-31,12.67,$-0.83,0.0
2022-09-30,10.1,$-0.72,0.0
2022-06-30,11.84,$0.38,31.1
2022-03-31,13.49,$1.04,12.97
2021-12-31,14.8,$0.87,16.98
2021-09-30,14.11,$1.84,7.66
2021-06-30,16.43,$1.15,14.24
2021-03-31,14.1,$1.15,12.21
2020-12-31,11.73,$1.15,10.16
2020-09-30,10.24,$0.86,11.88
2020-06-30,11.31,$0.86,13.12
2020-03-31,10.28,$0.86,11.93
2019-12-31,14.57,$0.86,16.91
2019-09-30,16.87,$2.62,6.45
2019-06-30,21.48,$2.62,8.21
2019-03-31,22.28,$2.62,8.52
2018-12-31,19.0,$2.62,7.26
2018-09-30,21.1,$1.14,18.53
2018-06-30,18.86,$1.14,16.57
2018-03-31,21.96,$0.67,32.97
2017-12-31,22.09,$1.14,19.41
2017-09-30,19.95,0,0.0
2017-06-30,19.44,0,0.0
2016-12-31,15.36,$0.47,32.54
2016-09-30,14.64,$0.75,19.47
2016-06-30,16.92,$0.75,22.51
2016-03-31,16.06,$0.75,21.36
2015-12-31,15.5,$0.75,20.61
2015-09-30,15.72,$-0.50,0.0
2015-06-30,15.03,$-0.50,0.0
2015-03-31,14.51,$-0.50,0.0
2014-12-31,12.97,$-0.50,0.0
2017-03-31,18.5,0,0.0
2014-09-30,15.23,$0.80,19.02
2014-06-30,16.19,$0.48,33.8
2014-03-31,15.21,$0.80,19.0
2013-12-31,16.39,$0.80,20.46
2013-09-30,17.91,$0.35,51.71
2013-06-30,19.26,$0.67,28.82
2013-03-31,22.06,$0.35,63.67
2012-12-31,20.98,$0.35,60.58
2012-09-30,18.93,$1.23,15.43
2012-06-30,16.55,$1.23,13.49
2012-03-31,20.74,$1.23,16.9
2011-12-31,16.63,$1.23,13.55
2011-09-30,13.53,$1.22,11.06
2011-06-30,15.4,$1.22,12.59
2011-03-31,15.39,$1.22,12.58
2010-12-31,15.72,$1.22,12.85
2010-09-30,14.4,$-1.58,0.0
2010-06-30,11.15,$-1.58,0.0
2010-03-31,9.5,$-1.58,0.0
2009-12-31,9.88,$-1.58,0.0
