Praxis Precision Medicines Price to Free Cash Flow Ratio Historical Data,Praxis Precision Medicines Price to Free Cash Flow Ratio Historical Data,Praxis Precision Medicines Price to Free Cash Flow Ratio Historical Data,Praxis Precision Medicines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,74.92,,0.0
2024-06-30,41.36,$-5.64,0.0
2024-03-31,61.02,$-9.08,0.0
2023-12-31,22.28,$-16.86,0.0
2023-09-30,1.71,$-18.69,0.0
2023-06-30,1.15,$-37.36,0.0
2023-03-31,0.81,$-51.70,0.0
2022-12-31,2.38,$-60.36,0.0
2022-09-30,2.27,$-68.78,0.0
2022-06-30,2.45,$-61.01,0.0
2022-03-31,10.21,$-52.27,0.0
2021-12-31,19.7,$-44.36,0.0
2021-09-30,18.49,$-115.05,0.0
