Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data,Watts Water Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,207.57,,22.28
2024-06-30,182.97,$9.32,19.64
2024-03-31,212.09,$3.50,60.62
2023-12-31,207.52,$6.39,32.47
2023-09-30,171.82,$4.46,38.53
2023-06-30,182.32,$2.87,63.51
2022-12-31,144.53,$5.99,24.15
2022-09-30,124.03,$5.85,21.2
2022-06-30,120.92,$5.67,21.34
2022-03-31,137.09,$6.10,22.49
2021-12-31,190.35,$7.30,26.07
2023-03-31,166.65,$4.39,37.96
2021-09-30,164.56,$6.25,26.35
2021-06-30,142.63,$6.69,21.32
2021-03-31,115.92,$6.69,17.32
2020-12-31,118.5,$5.51,21.52
2020-09-30,97.32,$5.41,18.0
2020-06-30,78.53,$5.40,14.54
2020-03-31,81.84,$5.48,14.92
2019-12-31,96.21,$4.82,19.95
2019-09-30,90.19,$4.93,18.29
2019-06-30,89.43,$4.51,19.82
2019-03-31,77.35,$4.02,19.25
2018-12-31,61.6,$3.96,15.57
2018-09-30,79.23,$3.38,23.48
2018-06-30,74.65,$3.38,22.08
2018-03-31,73.78,$3.24,22.77
2017-12-31,71.94,$3.78,19.04
2017-09-30,65.38,$3.52,18.57
2017-06-30,59.52,$3.58,16.63
2017-03-31,58.54,$3.72,15.75
2016-12-31,61.05,$3.25,18.79
2016-09-30,60.55,$2.10,28.79
2016-06-30,54.26,$1.17,46.26
2016-03-31,51.18,$1.58,32.36
2015-12-31,45.96,$2.34,19.61
2015-09-30,48.73,$3.15,15.49
2015-06-30,47.69,$3.78,12.63
2015-03-31,50.46,$3.69,13.68
2014-12-31,58.01,$3.16,18.35
2014-09-30,53.14,$2.91,18.24
2014-06-30,56.17,$2.67,21.06
2014-03-31,53.25,$2.29,23.28
2013-12-31,56.02,$2.59,21.65
2013-09-30,50.93,$2.63,19.36
2013-06-30,40.86,$2.63,15.55
2013-03-31,43.13,$2.53,17.04
2012-12-31,38.55,$2.85,13.51
2012-09-30,33.82,$3.23,10.48
2012-06-30,29.72,$2.91,10.21
2012-03-31,36.21,$2.89,12.52
2011-12-31,30.31,$2.78,10.89
2011-09-30,23.54,$1.97,11.95
2011-06-30,31.14,$2.10,14.84
2011-03-31,33.48,$2.33,14.35
2010-12-31,31.99,$2.43,13.15
2010-09-30,29.67,$2.90,10.24
2010-06-30,24.89,$3.70,6.73
2010-03-31,26.88,$4.45,6.03
2009-12-31,26.66,$4.88,5.46
