United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data,United States Lime & Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,104.32,,41.09
2024-06-30,72.79,$2.54,28.67
2024-03-31,59.55,$2.29,25.99
2023-12-31,45.96,$2.11,21.75
2023-09-30,40.07,$2.06,19.42
2023-06-30,41.6,$1.86,22.41
2023-03-31,30.38,$1.81,16.75
2022-12-31,27.97,$1.37,20.45
2022-09-30,20.28,$1.12,18.1
2022-06-30,20.91,$0.97,21.54
2022-03-31,22.94,$0.76,30.13
2021-12-31,25.46,$0.92,27.69
2021-09-30,23.81,$1.20,19.82
2021-06-30,27.39,$1.23,22.23
2021-03-31,26.3,$1.54,17.09
2020-12-31,22.4,$1.48,15.12
2020-09-30,17.67,$1.17,15.16
2020-06-30,16.53,$1.03,16.1
2020-03-31,14.43,$0.85,16.94
2019-12-31,17.61,$0.73,24.18
2019-09-30,14.12,$0.03,458.51
2019-06-30,14.74,$-0.19,0.0
2019-03-31,14.19,$-0.41,0.0
2018-12-31,13.04,$-0.51,0.0
2018-09-30,14.47,$0.15,95.59
2018-06-30,15.35,$0.15,105.37
2018-03-31,13.37,$0.38,35.18
2017-12-31,14.06,$0.48,29.02
2017-09-30,15.29,$0.59,25.82
2017-06-30,14.26,$0.78,18.24
2017-03-31,14.33,$0.66,21.76
2016-12-31,13.72,$0.73,18.74
2016-09-30,11.93,$0.72,16.51
2016-06-30,10.64,$0.75,14.23
2016-03-31,10.8,$0.17,63.03
2015-12-31,9.87,$0.24,41.68
2015-09-30,8.18,$0.16,51.47
2015-06-30,10.39,$0.24,43.95
2014-12-31,12.97,$0.74,17.58
2014-09-30,10.33,$1.27,8.11
2014-06-30,11.49,$1.27,9.03
2014-03-31,9.96,$1.25,7.95
2013-12-31,10.8,$1.38,7.82
2015-03-31,11.5,$0.78,14.78
2013-09-30,10.35,$0.79,13.16
2013-06-30,9.23,$0.73,12.71
2013-03-31,9.39,$0.80,11.67
2012-12-31,8.32,$0.82,10.15
2012-09-30,8.51,$0.88,9.64
2012-06-30,8.24,$0.93,8.9
2012-03-31,10.58,$0.96,11.02
2011-12-31,10.61,$0.92,11.55
2011-09-30,7.05,$0.85,8.32
2011-06-30,7.24,$0.84,8.59
2011-03-31,7.15,$0.80,8.99
2010-12-31,7.44,$0.78,9.58
2010-09-30,6.83,$0.82,8.34
2010-06-30,6.8,$0.86,7.89
2010-03-31,6.83,$0.74,9.23
2009-12-31,6.1,$0.79,7.75
