Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data,Alight Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.36,,16.12
2024-06-30,7.38,$0.46,16.16
2024-03-31,9.85,$0.52,18.83
2023-12-31,8.53,$0.46,18.48
2023-09-30,7.09,$0.36,19.45
2023-06-30,9.24,$0.40,23.15
2023-03-31,9.21,$0.41,22.7
2022-12-31,8.36,$0.30,27.78
2022-09-30,7.33,$0.26,28.37
2022-06-30,6.75,$0.07,92.34
