Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data,Light & Wonder Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,94.61,,8.05
2024-06-30,104.88,$11.75,8.92
2024-03-31,102.09,$9.59,10.64
2023-12-31,82.11,$4.19,19.58
2023-09-30,71.33,$1.44,49.4
2022-12-31,58.6,$-7.70,0.0
2022-09-30,42.88,$-4.71,0.0
