Global Business Travel Price to Free Cash Flow Ratio Historical Data,Global Business Travel Price to Free Cash Flow Ratio Historical Data,Global Business Travel Price to Free Cash Flow Ratio Historical Data,Global Business Travel Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.86,,4.58
2024-06-30,6.6,$1.72,3.84
2024-03-31,6.01,$0.40,15.07
2023-12-31,6.45,$0.11,60.28
2023-09-30,5.5,$8.42,0.65
2023-06-30,7.23,$-1.76,0.0
2023-03-31,6.63,$-1.33,0.0
2022-12-31,6.75,$-1.09,0.0
2022-09-30,5.66,$-9.47,0.0
2022-06-30,6.31,$-0.79,0.0
2022-03-31,9.95,$0.02,571.84
2021-12-31,9.87,0,0.0
2021-09-30,9.76,0,0.0
