Essential Properties Realty Trust Price to Free Cash Flow Ratio Historical Data,Essential Properties Realty Trust Price to Free Cash Flow Ratio Historical Data,Essential Properties Realty Trust Price to Free Cash Flow Ratio Historical Data,Essential Properties Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.85,,0.0
2024-06-30,27.48,$-4.51,0.0
2024-03-31,26.16,$-4.82,0.0
2023-12-31,24.82,$-4.85,0.0
2023-09-30,20.77,$-4.91,0.0
2023-06-30,22.32,$-4.76,0.0
2023-03-31,23.29,$-4.11,0.0
2022-12-31,21.75,$-4.19,0.0
2022-09-30,17.81,$-4.54,0.0
2022-06-30,19.41,$-5.30,0.0
2022-03-31,22.57,$-5.58,0.0
2021-12-31,25.46,$-5.81,0.0
2021-09-30,24.43,$-6.03,0.0
2021-06-30,23.45,$-5.31,0.0
2021-03-31,19.62,$-4.63,0.0
2020-12-31,18.03,$-4.74,0.0
2020-09-30,15.41,$-4.49,0.0
2020-06-30,12.32,$-5.23,0.0
2020-03-31,10.68,$-6.57,0.0
2019-12-31,19.95,$-6.62,0.0
2019-09-30,18.25,$-6.03,0.0
2019-06-30,15.81,$-6.25,0.0
2019-03-31,15.23,$-8.97,0.0
