Markel Group Price to Free Cash Flow Ratio Historical Data,Markel Group Price to Free Cash Flow Ratio Historical Data,Markel Group Price to Free Cash Flow Ratio Historical Data,Markel Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1594.08,,7.88
2024-06-30,1575.66,$202.27,7.79
2024-03-31,1521.48,$213.11,7.14
2023-12-31,1419.9,$188.98,7.51
2023-09-30,1472.49,$193.42,7.61
2023-06-30,1383.18,$190.51,7.26
2023-03-31,1277.41,$172.49,7.41
2022-12-31,1317.49,$180.76,7.29
2022-09-30,1084.22,$165.34,6.56
2022-06-30,1293.25,$158.98,8.13
2022-03-31,1475.24,$160.10,9.21
2021-12-31,1234.0,$154.26,8.0
2021-09-30,1195.13,$144.23,8.29
2021-06-30,1186.71,$141.50,8.39
2021-03-31,1139.62,$136.55,8.35
2020-12-31,1033.3,$118.37,8.73
2020-09-30,973.7,$123.26,7.9
2020-06-30,923.17,$99.20,9.31
2020-03-31,927.89,$84.92,10.93
2019-12-31,1143.17,$82.90,13.79
2019-09-30,1181.9,$52.90,22.34
2019-06-30,1089.6,$53.56,20.34
2019-03-31,996.24,$54.57,18.26
2018-12-31,1038.05,$56.47,18.38
2018-09-30,1188.49,$65.94,18.02
2018-06-30,1084.35,$59.84,18.12
2018-03-31,1170.25,$58.72,19.93
2017-12-31,1139.13,$55.97,20.35
2017-09-30,1067.98,$53.16,20.09
2017-06-30,975.86,$45.36,21.51
2017-03-31,975.86,$41.66,23.42
2016-12-31,904.5,$33.45,27.04
2016-09-30,928.77,$25.42,36.54
2016-06-30,952.78,$28.99,32.86
2016-03-31,891.57,$32.20,27.69
2015-12-31,883.35,$40.64,21.74
2015-09-30,801.86,$45.42,17.65
2015-06-30,800.68,$43.73,18.31
2015-03-31,768.96,$44.26,17.37
2014-12-31,682.84,$45.15,15.12
2014-09-30,636.15,$53.91,11.8
2014-06-30,655.64,$66.78,9.82
2014-03-31,596.1,$56.27,10.59
2013-12-31,580.35,$70.01,8.29
2013-09-30,517.77,$63.42,8.16
2013-03-31,503.5,$48.15,10.46
2012-12-31,433.42,$35.90,12.07
2012-09-30,458.49,$30.09,15.24
2012-06-30,441.7,$11.90,37.13
2012-03-31,448.94,$10.33,43.45
2011-12-31,414.67,$28.09,14.76
2013-06-30,526.95,$17.07,30.88
2011-09-30,357.13,$26.15,13.66
2011-06-30,396.81,$19.54,20.31
2011-03-31,414.45,$15.82,26.2
2010-12-31,378.13,$18.52,20.42
2010-09-30,344.59,$19.04,18.1
2010-06-30,340.0,$21.27,15.99
2010-03-31,374.66,$25.66,14.6
2009-12-31,340.0,$26.52,12.82
