Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data,Enliven Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.02,,0.0
2024-06-30,23.37,$-1.83,0.0
2024-03-31,17.59,$-1.16,0.0
2023-12-31,13.84,$-1.73,0.0
