P10 Price to Free Cash Flow Ratio Historical Data,P10 Price to Free Cash Flow Ratio Historical Data,P10 Price to Free Cash Flow Ratio Historical Data,P10 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.25,,20.86
2024-06-30,8.48,$0.54,15.72
2024-03-31,8.42,$0.32,26.18
2023-12-31,10.22,$0.40,25.67
2023-09-30,11.65,$0.53,22.08
2023-06-30,11.3,$0.54,20.99
2023-03-31,10.11,$0.60,16.89
2022-12-31,10.67,$0.50,21.55
2022-09-30,10.52,$0.79,13.35
