Toronto Dominion Bank Price to Free Cash Flow Ratio Historical Data,Toronto Dominion Bank Price to Free Cash Flow Ratio Historical Data,Toronto Dominion Bank Price to Free Cash Flow Ratio Historical Data,Toronto Dominion Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.42,,0.0
2024-07-31,58.03,$-5.14,0.0
2024-04-30,57.55,$-13.39,0.0
2024-01-31,58.17,$-37.75,0.0
2023-10-31,52.84,$-27.29,0.0
2023-07-31,61.65,$-32.25,0.0
2023-04-30,56.02,$-11.71,0.0
2023-01-31,63.2,$5.66,11.17
2022-10-31,57.78,$16.06,3.6
2022-07-31,58.04,$23.41,2.48
2022-04-30,63.85,$17.44,3.66
2022-01-31,70.09,$15.43,4.54
2021-10-31,62.94,$21.41,2.94
2021-07-31,57.16,$23.43,2.44
2021-04-30,58.58,$46.23,1.27
2021-01-31,47.76,$108.50,0.44
2020-10-31,36.94,$94.60,0.39
2020-07-31,36.52,$84.63,0.43
2020-04-30,33.99,$61.65,0.55
2020-01-31,44.39,$5.59,7.94
2019-10-31,45.38,$-0.22,0.0
2019-07-31,46.0,$0.21,214.57
2019-04-30,44.42,$1.65,26.94
2019-01-31,43.47,$-0.25,0.0
2018-10-31,42.4,$2.16,19.65
2018-07-31,44.85,$8.92,5.03
2018-04-30,42.18,$5.26,8.02
2018-01-31,45.25,$11.99,3.77
2017-10-31,41.96,$14.20,2.95
2017-07-31,37.72,$6.67,5.66
2017-04-30,34.15,$18.02,1.9
2017-01-31,37.21,$14.59,2.55
2016-10-31,32.35,$17.60,1.84
2016-07-31,30.77,$22.09,1.39
2016-04-30,31.11,$22.51,1.38
2016-01-31,26.2,$12.38,2.12
2015-10-31,28.12,$14.88,1.89
2015-07-31,27.43,$12.48,2.2
2015-04-30,31.04,$8.83,3.51
2015-01-31,26.53,$12.09,2.19
2014-10-31,32.54,$12.48,2.61
2014-07-31,34.21,$31.16,1.1
2014-04-30,31.22,$29.29,1.07
2014-01-31,27.81,$41.68,0.67
2013-10-31,29.25,$33.02,0.89
2013-07-31,26.6,$13.44,1.98
2013-04-30,25.63,$11.48,2.23
2013-01-31,25.9,$3.98,6.51
2012-10-31,24.99,$7.18,3.48
2012-07-31,23.91,$4.64,5.15
2012-04-30,25.24,$3.46,7.29
2012-01-31,22.86,$4.89,4.68
2011-10-31,22.12,$-0.60,0.0
2011-07-31,23.24,$-0.04,0.0
2011-04-30,25.01,$-1.53,0.0
2011-01-31,21.46,$-1.47,0.0
2010-10-31,20.52,$1.35,15.19
2010-07-31,20.07,$1.68,11.97
2010-04-30,20.8,$7.79,2.67
2010-01-31,16.34,$11.78,1.39
2009-10-31,15.71,$11.88,1.32
