Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data,Cogent Communications Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.95,,0.0
2024-06-30,55.68,$-5.51,0.0
2024-03-31,63.4,$-3.07,0.0
2023-12-31,72.72,$-2.35,0.0
2023-09-30,58.34,$-0.09,0.0
2023-06-30,62.55,$2.19,28.51
2023-03-31,58.36,$1.61,36.33
2022-12-31,51.5,$2.01,25.66
2022-09-30,46.32,$2.11,21.99
2022-06-30,53.13,$1.99,26.65
2022-03-31,57.16,$2.12,26.93
2021-12-31,62.18,$2.14,29.1
2021-09-30,59.57,$2.14,27.84
2021-06-30,63.93,$2.06,31.04
2021-03-31,56.59,$2.15,26.29
2020-12-31,48.68,$1.81,26.93
2020-09-30,48.23,$2.15,22.42
2020-06-30,61.48,$2.17,28.38
2020-03-31,64.56,$2.21,29.21
2019-12-31,51.39,$2.21,23.25
2019-09-30,42.59,$2.08,20.53
2019-06-30,45.42,$2.04,22.27
2019-03-31,41.09,$1.83,22.41
2018-12-31,33.84,$1.83,18.44
2018-09-30,41.29,$1.64,25.12
2018-06-30,39.11,$1.61,24.29
2018-03-31,31.47,$1.54,20.37
2017-12-31,32.47,$1.46,22.26
2017-09-30,34.69,$1.59,21.76
2017-06-30,28.15,$1.51,18.59
2017-03-31,29.89,$1.37,21.85
2016-12-31,28.41,$1.40,20.32
2016-09-30,25.03,$1.17,21.31
2016-06-30,26.96,$1.23,21.85
2016-03-31,26.01,$1.23,21.18
2015-12-31,22.89,$1.07,21.43
2015-09-30,17.73,$0.80,22.14
2015-06-30,21.84,$0.45,49.07
2015-03-31,22.57,$0.51,44.44
2014-12-31,22.41,$0.28,79.8
2014-09-30,21.09,$0.58,36.08
2014-06-30,21.5,$0.67,32.16
2014-03-31,22.11,$0.62,35.59
2013-12-31,25.14,$0.70,36.01
2013-09-30,19.87,$0.77,25.68
2013-06-30,17.26,$0.77,22.5
2013-03-31,16.12,$0.74,21.65
2012-12-31,13.75,$0.78,17.58
2012-09-30,13.9,$0.67,20.81
2012-06-30,11.57,$0.72,16.18
2012-03-31,11.47,$0.65,17.64
2011-12-31,10.16,$0.66,15.49
2011-09-30,8.09,$0.52,15.7
2011-06-30,10.23,$0.43,23.85
2011-03-31,8.57,$0.34,25.02
2010-12-31,8.5,$0.42,20.35
2010-09-30,5.69,$0.39,14.74
2010-06-30,4.56,$0.29,15.89
2010-03-31,6.26,$0.23,26.83
2009-12-31,5.93,$0.17,35.1
