"Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data","Banco Latinoamericano De Comercio Exterior, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.89,,1.71
2024-06-30,29.15,$19.80,1.47
2024-03-31,28.61,$19.64,1.46
2023-12-31,23.47,$29.09,0.81
2023-09-30,19.88,$32.76,0.61
2023-06-30,20.46,$31.12,0.66
2023-03-31,15.9,$6.28,2.53
2022-12-31,14.61,$-21.25,0.0
2022-09-30,11.6,$-45.42,0.0
2022-06-30,11.59,$-45.92,0.0
2022-03-31,13.38,$-33.14,0.0
2021-12-31,14.02,$-22.48,0.0
2021-09-30,14.61,$-7.44,0.0
2021-06-30,12.61,$-3.51,0.0
2021-03-31,12.22,$27.15,0.45
2020-12-31,12.58,$31.43,0.4
2020-09-30,9.48,$29.19,0.32
2020-06-30,8.79,$22.86,0.38
2020-03-31,7.69,$3.70,2.08
2019-12-31,15.63,$5.37,2.91
2019-09-30,14.31,$3.13,4.57
2019-06-30,14.69,$2.18,6.74
2018-12-31,11.75,$-4.41,0.0
2018-09-30,13.9,$-13.08,0.0
2018-06-30,16.09,$-6.71,0.0
2018-03-31,18.37,$2.72,6.75
2017-12-31,17.12,$-0.86,0.0
2017-09-30,18.48,$6.45,2.86
2017-06-30,16.94,$15.26,1.11
2016-12-31,17.72,$21.05,0.84
2016-09-30,16.72,$14.23,1.18
2016-06-30,15.51,$25.05,0.62
2016-03-31,13.96,$21.80,0.64
2015-12-31,14.69,$19.50,0.75
2015-09-30,12.93,$30.87,0.42
2019-03-31,13.8,$7.95,1.74
2015-06-30,17.73,$6.59,2.69
2015-03-31,17.85,$-1.12,0.0
2014-12-31,16.38,$-6.86,0.0
2014-09-30,16.3,$3.89,4.19
2014-06-30,15.58,$3.17,4.92
2014-03-31,13.69,$2.60,5.27
2013-12-31,14.34,$1.40,10.21
2013-09-30,12.61,$1.38,9.14
2013-06-30,11.19,$1.13,9.89
2013-03-31,12.21,$1.78,6.87
2012-12-31,10.5,$2.49,4.23
2012-09-30,10.61,$-10.93,0.0
2012-06-30,10.17,$6.28,1.62
2012-03-31,9.9,$6.36,1.56
2011-12-31,7.43,$7.60,0.98
2017-03-31,16.93,$20.94,0.81
2011-09-30,6.96,$5.19,1.34
2011-06-30,7.83,$3.95,1.98
2011-03-31,7.81,$2.35,3.32
2010-12-31,8.16,$2.24,3.64
2010-09-30,6.32,$0.41,15.45
2010-03-31,6.15,$0.41,15.03
2009-12-31,5.89,$0.41,14.4
2009-09-30,5.96,0,0.0
