Karooooo Price to Free Cash Flow Ratio Historical Data,Karooooo Price to Free Cash Flow Ratio Historical Data,Karooooo Price to Free Cash Flow Ratio Historical Data,Karooooo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.96,,33.13
2024-08-31,38.29,$1.21,31.75
2024-05-31,28.74,$0.53,53.84
2024-02-29,24.82,$0.14,175.65
2023-11-30,25.0,$1.40,17.81
2023-08-31,24.19,$1.11,21.88
2023-05-31,22.42,$1.00,22.4
2023-02-28,25.4,$1.08,23.46
2022-11-30,25.49,$0.80,31.76
2022-08-31,24.99,$0.98,25.43
2022-05-31,24.62,$0.94,26.19
2022-02-28,30.78,$0.88,35.12
