Mirion Technologies Price to Free Cash Flow Ratio Historical Data,Mirion Technologies Price to Free Cash Flow Ratio Historical Data,Mirion Technologies Price to Free Cash Flow Ratio Historical Data,Mirion Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.3,,42.1
2024-06-30,10.74,$0.34,31.62
2024-03-31,11.37,$0.32,35.96
2023-12-31,10.25,$0.30,34.64
2023-09-30,7.47,$0.09,82.36
2023-06-30,8.45,$-0.10,0.0
2023-03-31,8.54,$-0.04,0.0
2022-12-31,6.61,$0.03,199.7
2022-09-30,7.47,$-3.45,0.0
2022-06-30,5.76,$-1.60,0.0
2022-03-31,8.07,$-0.51,0.0
2021-12-31,10.47,$-0.09,0.0
2021-09-30,10.22,$3.36,3.04
2021-06-30,10.4,$1.59,6.56
