Immunocore Holdings Price to Free Cash Flow Ratio Historical Data,Immunocore Holdings Price to Free Cash Flow Ratio Historical Data,Immunocore Holdings Price to Free Cash Flow Ratio Historical Data,Immunocore Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.75,,182.93
2024-06-30,33.89,$0.18,183.69
2024-03-31,65.0,$-0.31,0.0
2023-12-31,68.32,$-0.05,0.0
2023-09-30,51.9,$-0.19,0.0
2023-06-30,59.96,$0.16,375.92
2023-03-31,49.44,$-0.02,0.0
2022-12-31,57.07,$-1.12,0.0
2022-09-30,46.94,$-1.36,0.0
2022-06-30,37.31,$-2.42,0.0
2022-03-31,29.9,$-3.15,0.0
2021-12-31,34.24,$-3.14,0.0
