Mister Car Wash Price to Free Cash Flow Ratio Historical Data,Mister Car Wash Price to Free Cash Flow Ratio Historical Data,Mister Car Wash Price to Free Cash Flow Ratio Historical Data,Mister Car Wash Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.55,,0.0
2024-06-30,7.12,$-0.31,0.0
2024-03-31,7.75,$-0.08,0.0
2023-12-31,8.64,$-0.01,0.0
2023-09-30,5.51,$0.16,34.76
2023-06-30,9.65,$0.41,23.32
2023-03-31,8.62,$0.24,36.02
2022-12-31,9.23,$0.38,24.04
2022-09-30,8.58,$0.51,16.81
2022-06-30,10.88,$0.33,32.8
2022-03-31,14.79,$0.67,22.12
