Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data,Zimmer Biomet Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,107.86,,25.31
2024-03-31,131.98,$4.26,30.97
2023-12-31,121.48,$4.67,26.03
2023-09-30,111.8,$3.08,36.31
2023-06-30,144.74,$3.76,38.5
2023-03-31,128.22,$4.11,31.17
2022-12-31,126.3,$4.33,29.19
2022-09-30,103.37,$4.82,21.44
2022-06-30,103.64,$4.72,21.97
2022-03-31,125.89,$5.16,24.42
2021-12-31,124.81,$4.69,26.6
2021-09-30,143.52,$4.82,29.79
2021-06-30,157.45,$4.71,33.4
2021-03-31,156.5,$2.43,64.47
2020-12-31,150.42,$3.40,44.18
2020-09-30,132.68,$3.67,36.13
2020-06-30,116.12,$4.35,26.72
2020-03-31,98.13,$5.83,16.83
2019-12-31,144.97,$5.14,28.19
2019-09-30,132.74,$5.03,26.38
2019-06-30,113.65,$4.65,24.43
2019-03-31,123.01,$5.34,23.02
2018-12-31,99.72,$6.43,15.51
2018-09-30,126.1,$6.47,19.51
2018-06-30,106.69,$6.48,16.46
2018-03-31,104.17,$6.60,15.78
2017-12-31,115.02,$5.35,21.51
2017-09-30,111.39,$6.36,17.51
2017-06-30,121.89,$5.64,21.63
2017-03-31,115.71,$5.37,21.54
2016-12-31,97.59,$5.44,17.92
2016-09-30,122.67,$4.86,25.23
2016-06-30,113.36,$3.61,31.4
2016-03-31,100.21,$3.01,33.26
2015-12-31,96.2,$2.19,43.92
2015-09-30,87.89,$2.02,43.46
2015-06-30,101.96,$3.31,30.79
2015-03-31,109.48,$3.52,31.07
2014-12-31,105.47,$4.18,25.21
2014-09-30,93.32,$4.03,23.17
2014-06-30,96.19,$4.21,22.83
2014-03-31,87.41,$3.91,22.33
2013-12-31,85.92,$3.90,22.03
2013-09-30,75.57,$4.02,18.81
2013-06-30,68.78,$4.45,15.47
2013-03-31,68.85,$4.77,14.43
2012-12-31,60.85,$5.05,12.06
2012-09-30,61.56,$5.17,11.91
2012-06-30,58.44,$5.03,11.61
2012-03-31,58.2,$5.09,11.44
2011-12-31,48.23,$4.81,10.03
2011-09-30,48.28,$4.29,11.24
2011-06-30,57.06,$4.13,13.81
2011-03-31,54.65,$1.08,50.66
2010-12-31,48.46,$2.01,24.13
2010-09-30,47.24,$2.24,21.06
2010-06-30,48.8,$1.59,30.64
2009-12-31,53.37,$4.12,12.96
2009-09-30,48.26,$3.60,13.41
