Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data,Discover Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,126.97,,3.84
2024-03-31,130.36,$33.06,3.94
2023-12-31,111.13,$32.52,3.42
2023-09-30,84.96,$29.20,2.91
2023-06-30,113.69,$25.64,4.43
2023-03-31,95.5,$25.51,3.74
2022-12-31,94.01,$24.87,3.78
2022-09-30,86.89,$21.68,4.01
2022-06-30,89.87,$21.32,4.21
2022-03-31,104.12,$20.54,5.07
2021-12-31,108.76,$19.42,5.6
2021-09-30,115.14,$20.30,5.67
2021-06-30,110.44,$18.89,5.85
2021-03-31,88.35,$18.85,4.69
2020-12-31,83.8,$19.33,4.33
2020-09-30,53.18,$18.45,2.88
2020-06-30,45.7,$17.00,2.69
2020-03-31,32.2,$16.87,1.91
2019-12-31,76.13,$18.48,4.12
2019-09-30,72.39,$16.13,4.49
2019-06-30,68.89,$18.18,3.79
2019-03-31,62.85,$17.86,3.52
2018-12-31,51.8,$14.31,3.62
2018-09-30,66.76,$16.55,4.03
2018-06-30,61.17,$16.03,3.82
2018-03-31,62.21,$14.16,4.39
2017-12-31,66.23,$13.34,4.96
2017-09-30,55.23,$12.22,4.52
2017-06-30,52.95,$11.34,4.67
2017-03-31,57.95,$10.29,5.63
2016-12-31,60.82,$10.46,5.82
2016-09-30,47.45,$9.68,4.9
2016-06-30,44.73,$10.35,4.32
2016-03-31,42.28,$11.08,3.81
2015-12-31,44.25,$10.46,4.23
2015-09-30,42.69,$10.52,4.06
2015-03-31,45.82,$7.93,5.78
2014-12-31,53.03,$7.95,6.67
2014-09-30,51.94,$9.10,5.71
2014-06-30,49.8,$5.51,9.03
2014-03-31,46.55,$5.03,9.26
2013-12-31,44.59,$3.87,11.53
2015-06-30,47.08,$3.56,13.21
2013-09-30,40.12,$4.87,8.24
2013-06-30,37.67,$-0.71,0.0
2013-03-31,35.3,$-1.12,0.0
2012-12-31,30.35,$-2.73,0.0
2012-11-30,32.64,$-1.27,0.0
2012-09-30,31.09,$4.73,6.57
2012-08-31,30.31,$5.85,5.18
2012-05-31,25.84,$-0.34,0.0
2012-03-31,25.94,$-0.85,0.0
2012-02-29,23.35,$-0.42,0.0
2011-11-30,18.45,0,0.0
2011-08-31,19.44,$0.03,589.15
2011-05-31,18.38,$-0.42,0.0
2011-02-28,16.73,$0.20,82.65
2010-11-30,14.04,$-0.00,0.0
2010-08-31,11.13,$-0.05,0.0
2010-05-31,10.31,$0.48,21.42
2010-02-28,10.45,$1.01,10.34
2009-11-30,11.82,0,0.0
2009-08-31,10.5,$7.71,1.36
