Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data,Roper Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,561.49,,30.28
2024-03-31,560.06,$18.54,30.2
2023-12-31,543.64,$17.94,30.3
2023-09-30,482.25,$13.02,37.05
2023-06-30,478.1,$9.52,50.21
2023-03-31,437.53,$6.04,72.49
2022-12-31,428.33,$6.22,68.86
2022-09-30,355.93,$11.04,32.25
2022-06-30,389.98,$12.93,30.16
2022-03-31,466.04,$17.53,26.58
2021-12-31,484.76,$18.34,26.43
2021-09-30,439.14,$18.37,23.91
2021-06-30,462.29,$15.51,29.8
2021-03-31,396.02,$15.82,25.04
2020-12-31,422.71,$14.03,30.13
2020-09-30,386.93,$13.10,29.53
2020-06-30,379.73,$15.60,24.34
2020-03-31,304.45,$14.16,21.51
2019-12-31,345.39,$13.40,25.77
2019-09-30,347.22,$13.29,26.13
2019-06-30,356.19,$13.47,26.45
2019-03-31,332.12,$13.15,25.26
2018-12-31,258.85,$13.14,19.7
2018-09-30,287.28,$12.27,23.42
2018-06-30,267.19,$11.31,23.62
2018-03-31,271.41,$10.45,25.97
2017-12-31,250.05,$11.35,22.03
2017-09-30,234.66,$10.45,22.45
2017-06-30,222.88,$10.55,21.13
2017-03-31,198.44,$10.58,18.76
2016-12-31,175.61,$9.01,19.49
2016-09-30,174.74,$9.03,19.36
2016-06-30,163.04,$8.19,19.91
2016-03-31,174.42,$8.22,21.23
2015-12-31,180.83,$8.76,20.64
2015-09-30,149.08,$8.71,17.11
2015-06-30,163.83,$8.69,18.85
2015-03-31,163.15,$8.39,19.44
2014-12-31,148.06,$7.93,18.67
2014-09-30,138.35,$7.71,17.95
2014-06-30,137.89,$8.00,17.24
2014-03-31,125.9,$7.99,15.75
2013-12-31,130.59,$7.58,17.22
2013-09-30,124.95,$7.36,16.98
2013-06-30,116.67,$6.90,16.91
2013-03-31,119.41,$6.70,17.82
2012-12-31,104.57,$6.42,16.28
2012-09-30,102.79,$6.22,16.53
2012-06-30,92.08,$5.85,15.75
2012-03-31,92.49,$6.23,14.84
2011-12-31,80.9,$5.70,14.19
2011-09-30,64.07,$5.39,11.9
2011-06-30,77.35,$5.16,15.0
2011-03-31,80.19,$4.74,16.91
2010-12-31,70.78,$4.87,14.53
2010-09-30,60.28,$4.57,13.2
2010-06-30,51.66,$4.06,12.72
2010-03-31,53.31,$4.11,12.97
2009-12-31,48.18,$3.68,13.09
