FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data,FactSet Research Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,423.73,,26.95
2024-02-29,462.58,$15.72,29.42
2023-11-30,452.51,$16.34,27.69
2023-08-31,434.56,$15.03,28.91
2023-05-31,382.39,$14.52,26.33
2023-02-28,410.83,$14.13,29.08
2022-11-30,456.18,$13.19,34.59
2022-08-31,427.69,$12.58,34.01
2022-05-31,376.04,$13.48,27.89
2022-02-28,399.07,$12.10,32.99
2021-11-30,459.54,$12.64,36.37
2021-08-31,372.25,$12.81,29.07
2021-05-31,326.64,$12.10,26.99
2021-02-28,296.16,$12.57,23.57
2020-11-30,324.41,$11.12,29.16
2020-08-31,339.77,$11.08,30.67
2020-05-31,297.53,$15.88,18.74
2020-02-29,256.71,$13.18,19.47
2019-11-30,249.94,$13.52,18.49
2019-08-31,261.2,$14.86,17.58
2018-11-30,223.32,$8.50,26.28
2018-08-31,218.46,$8.94,24.43
2018-05-31,190.89,$6.84,27.9
2018-02-28,192.34,$5.78,33.29
2017-11-30,188.7,$5.78,32.67
2017-08-31,147.97,$6.19,23.89
2019-05-31,266.35,$6.99,38.13
2017-05-31,155.42,$6.28,24.75
2017-02-28,166.3,$6.41,25.95
2016-11-30,149.32,$4.50,33.21
2016-08-31,165.45,$5.50,30.06
2016-05-31,147.42,$5.50,26.82
2019-02-28,224.58,$4.96,45.32
2016-02-29,139.02,$7.39,18.81
2015-11-30,156.16,$2.24,69.69
2015-08-31,145.09,$2.38,61.05
2015-05-31,151.33,$2.80,54.04
2015-02-28,142.14,$1.37,103.61
2014-08-31,115.8,$5.75,20.12
2014-05-31,97.09,$8.34,11.65
2014-02-28,95.07,$7.74,12.29
2013-11-30,101.69,$8.91,11.41
2013-08-31,91.82,$8.70,10.56
2014-11-30,124.94,$5.62,22.23
2013-05-31,87.79,$5.17,16.98
2013-02-28,86.68,$4.63,18.72
2012-11-30,82.05,$4.51,18.21
2012-08-31,81.67,$4.57,17.86
2012-05-31,93.01,$4.79,19.42
2012-02-29,76.88,$4.47,17.19
2011-11-30,81.76,$4.51,18.12
2011-08-31,76.86,$3.75,20.47
2011-05-31,96.63,$3.72,25.96
2011-02-28,91.19,$3.90,23.4
2010-11-30,76.92,$3.88,19.8
2010-08-31,63.64,$3.96,16.05
2010-05-31,58.7,$3.90,15.04
2010-02-28,56.91,$3.81,14.95
2009-11-30,62.01,$4.14,14.96
