Take-Two Interactive Software Price to Free Cash Flow Ratio Historical Data,Take-Two Interactive Software Price to Free Cash Flow Ratio Historical Data,Take-Two Interactive Software Price to Free Cash Flow Ratio Historical Data,Take-Two Interactive Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,158.22,,0.0
2024-03-31,148.49,$-0.93,0.0
2023-12-31,160.95,$-1.39,0.0
2023-09-30,140.39,$-1.55,0.0
2023-06-30,147.16,$-1.85,0.0
2023-03-31,119.3,$-1.27,0.0
2022-12-31,104.13,$1.35,77.38
2022-09-30,109.0,$-0.29,0.0
2022-06-30,122.53,$0.75,163.31
2022-03-31,153.74,$0.85,180.66
2021-12-31,177.72,$-0.13,0.0
2021-09-30,154.07,$3.55,43.37
2021-06-30,177.02,$4.02,44.03
2021-03-31,176.7,$7.29,24.24
2020-12-31,207.79,$8.43,24.65
2020-09-30,165.22,$9.71,17.01
2020-06-30,139.57,$8.47,16.48
2020-03-31,118.61,$5.54,21.41
2019-12-31,122.43,$7.27,16.85
2019-09-30,125.34,$9.81,12.78
2019-06-30,113.53,$7.83,14.5
2019-03-31,94.37,$6.74,14.0
2018-12-31,102.94,$5.20,19.81
2018-09-30,137.99,$0.90,153.05
2018-06-30,118.36,$3.31,35.76
2018-03-31,97.78,$3.60,27.16
2017-12-31,109.78,$3.12,35.15
2017-09-30,102.23,$5.38,18.99
2017-06-30,73.38,$4.87,15.07
2017-03-31,59.27,$4.19,14.15
2016-12-31,49.29,$2.57,19.15
2016-09-30,45.08,$1.54,29.36
2016-06-30,37.92,$0.35,108.84
2016-03-31,37.67,$2.00,18.8
2015-12-31,34.84,$3.73,9.34
2015-09-30,28.73,$3.91,7.35
2015-06-30,27.57,$-2.81,0.0
2015-03-31,25.46,$-4.29,0.0
2014-12-31,28.03,$-1.12,0.0
2014-09-30,23.07,$-1.92,0.0
2014-03-31,21.93,$5.89,3.73
2013-12-31,17.37,$7.28,2.38
2013-09-30,18.17,$1.10,16.56
2013-06-30,14.97,$1.06,14.13
2013-03-31,16.15,$0.67,24.2
2014-06-30,22.24,$-0.95,0.0
2012-12-31,11.01,$-0.14,0.0
2012-09-30,10.44,$-2.03,0.0
2012-06-30,9.46,$-1.43,0.0
2012-03-31,15.39,$-1.15,0.0
2011-12-31,13.55,$-0.76,0.0
2011-09-30,12.72,$0.63,20.3
2011-06-30,15.28,$0.06,274.33
2011-03-31,15.37,$1.18,13.07
2010-12-31,12.27,$1.57,7.82
2010-09-30,10.14,$1.22,8.32
2010-07-31,10.25,$-0.30,0.0
2010-06-30,9.0,$0.87,10.3
2010-04-30,10.85,$-1.40,0.0
2010-03-31,9.87,$0.14,72.13
2010-01-31,9.28,$1.31,7.07
2009-12-31,10.05,$-1.89,0.0
2009-10-31,10.97,$-0.78,0.0
