Charles River Laboratories Price to Free Cash Flow Ratio Historical Data,Charles River Laboratories Price to Free Cash Flow Ratio Historical Data,Charles River Laboratories Price to Free Cash Flow Ratio Historical Data,Charles River Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,211.6,,26.35
2024-03-31,270.95,$8.03,33.74
2023-12-31,236.4,$7.10,33.29
2023-09-30,195.98,$7.16,27.39
2023-06-30,210.25,$5.63,37.31
2023-03-31,201.82,$5.37,37.61
2022-12-31,217.9,$5.75,37.9
2022-09-30,196.8,$5.47,36.0
2022-06-30,213.97,$6.58,32.54
2022-03-31,283.97,$7.99,35.53
2021-12-31,376.78,$10.35,36.42
2021-09-30,412.67,$8.80,46.9
2021-06-30,369.92,$9.46,39.11
2021-03-31,289.83,$9.43,30.72
2020-12-31,249.86,$7.51,33.28
2020-09-30,226.45,$8.85,25.58
2020-06-30,174.35,$8.33,20.93
2020-03-31,126.21,$7.75,16.29
2019-12-31,152.76,$6.85,22.3
2019-09-30,132.37,$5.98,22.13
2019-06-30,141.9,$5.46,25.98
2019-03-31,145.25,$5.44,26.69
2018-12-31,113.18,$6.14,18.43
2018-09-30,134.54,$6.62,20.32
2018-06-30,112.26,$5.49,20.46
2018-03-31,106.74,$5.14,20.77
2017-12-31,109.45,$4.85,22.56
2017-09-30,108.02,$4.84,22.34
2017-06-30,101.15,$5.36,18.86
2017-03-31,89.95,$5.04,17.85
2016-12-31,76.19,$5.46,13.97
2016-09-30,83.34,$5.43,15.35
2016-06-30,82.44,$5.79,14.24
2016-03-31,75.94,$5.89,12.89
2015-12-31,80.39,$5.11,15.72
2015-09-30,63.52,$4.69,13.55
2015-06-30,70.34,$4.28,16.44
2015-03-31,79.29,$3.76,21.1
2014-12-31,63.64,$4.10,15.5
2014-09-30,59.74,$3.61,16.54
2014-06-30,53.52,$3.58,14.95
2014-03-31,60.34,$3.38,17.87
2013-12-31,53.04,$3.50,15.14
2013-09-30,46.26,$3.53,13.09
2013-06-30,41.03,$3.38,12.14
2013-03-31,44.27,$3.57,12.39
2012-12-31,37.47,$3.32,11.3
2012-09-30,39.6,$3.12,12.71
2012-06-30,32.76,$2.88,11.39
2012-03-31,36.09,$3.03,11.89
2011-12-31,27.33,$3.07,8.89
2011-09-30,28.62,$3.06,9.34
2011-06-30,40.65,$2.42,16.82
2011-03-31,38.38,$1.99,19.3
2010-12-31,35.54,$2.00,17.73
2010-09-30,33.15,$1.85,17.95
2010-06-30,34.21,$2.12,16.15
2010-03-31,39.31,$2.16,18.18
2009-12-31,33.69,$2.07,16.29
