SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data,SBA Communications Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,194.63,,16.51
2024-03-31,215.61,$11.79,18.29
2023-12-31,251.29,$12.01,20.93
2023-09-30,197.56,$10.64,18.56
2023-06-30,227.86,$10.84,21.01
2023-03-31,255.7,$9.87,25.91
2022-12-31,273.59,$9.79,27.94
2022-09-30,277.16,$10.08,27.49
2022-06-30,310.96,$9.51,32.7
2022-03-31,333.58,$3.03,110.01
2021-12-31,376.3,$2.57,146.2
2021-09-30,319.23,$2.56,124.94
2021-06-30,307.26,$3.11,98.91
2020-12-31,270.82,$8.79,30.81
2020-09-30,305.24,$11.66,26.19
2020-06-30,285.1,$11.74,24.29
2020-03-31,257.95,$10.98,23.5
2019-12-31,229.86,$10.64,21.61
2021-03-31,267.05,$7.54,35.43
2019-09-30,229.66,$6.70,34.29
2019-06-30,213.83,$6.34,33.73
2019-03-31,189.88,$6.40,29.68
2018-12-31,153.96,$6.01,25.6
2018-09-30,152.76,$6.01,25.42
2018-06-30,157.03,$5.91,26.56
2018-03-31,162.55,$5.67,28.65
2017-12-31,155.36,$5.55,28.0
2017-09-30,137.0,$5.43,25.23
2017-06-30,128.29,$5.29,24.25
2017-03-31,114.47,$5.08,22.55
2016-12-31,98.2,$4.81,20.4
2016-09-30,106.67,$4.49,23.76
2016-06-30,102.65,$4.30,23.85
2016-03-31,95.26,$4.03,23.63
2015-12-31,99.92,$4.02,24.83
2015-09-30,99.49,$3.78,26.33
2015-06-30,109.34,$3.53,30.95
2015-03-31,111.37,$1.87,59.46
2014-12-31,105.34,$1.84,57.2
2014-09-30,105.47,$1.51,70.03
2014-06-30,97.29,$1.58,61.46
2013-12-31,85.44,$2.57,33.21
2013-09-30,76.52,$1.53,50.07
2013-06-30,70.49,$2.30,30.63
2013-03-31,68.47,$1.98,34.62
2012-12-31,67.5,$1.89,35.67
2012-09-30,59.82,$2.40,24.97
2012-06-30,54.26,$1.32,40.95
2012-03-31,48.32,$1.18,41.12
2011-12-31,40.86,$1.09,37.34
2011-09-30,32.79,$1.15,28.49
2011-06-30,36.32,$1.15,31.57
2011-03-31,37.74,$0.53,71.51
2010-12-31,38.94,$1.16,33.46
2010-09-30,38.33,$1.04,36.76
2010-06-30,32.34,$1.17,27.75
2014-03-31,86.51,$1.91,45.21
2010-03-31,34.3,$1.37,25.08
2009-12-31,32.49,$1.51,21.57
