Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,90.4,,16.32
2024-04-30,72.9,$5.54,13.16
2024-01-31,70.91,$3.09,22.95
2023-10-31,64.56,$6.04,10.69
2023-07-31,79.21,$8.07,9.82
2023-04-30,70.24,$8.53,8.23
2023-01-31,82.62,$3.96,20.86
2022-10-31,63.03,$4.47,14.09
2022-07-31,70.1,$2.86,24.49
2022-04-30,80.86,$3.31,24.46
2022-01-31,88.46,$10.09,8.77
2021-10-31,108.17,$5.29,20.44
2021-07-31,98.8,$5.01,19.73
2021-04-30,101.6,$13.31,7.63
2021-01-31,94.5,$16.02,5.9
2020-10-31,96.35,$18.26,5.28
2020-07-31,85.58,$19.06,4.49
2020-04-30,65.49,$9.99,6.55
2020-01-31,71.56,$6.80,10.53
2019-10-31,60.34,$5.22,11.55
2019-07-31,63.81,$3.95,16.14
2019-04-30,61.57,$4.86,12.66
2019-01-31,48.67,$5.65,8.62
2018-10-31,57.2,$5.20,10.99
2018-07-31,60.82,$7.03,8.65
2018-04-30,61.65,$4.81,12.81
2018-01-31,58.47,$7.68,7.62
2017-07-31,46.16,$4.07,11.35
2017-04-30,40.75,$5.32,7.65
2017-01-31,34.76,$6.13,5.67
2016-10-31,30.2,$5.25,5.76
2016-07-31,25.88,$5.27,4.91
2016-04-30,24.48,$3.44,7.11
2016-01-31,20.83,$1.98,10.53
2015-10-31,25.94,$1.46,17.74
2015-07-31,23.76,$2.94,8.08
2015-04-30,25.33,$2.86,8.85
2015-01-31,25.27,$3.32,7.6
2017-10-31,44.56,$2.34,19.06
2014-10-31,24.38,$2.84,8.58
2014-07-31,21.11,$3.04,6.94
2014-04-30,18.3,$2.66,6.88
2014-01-31,16.51,$1.57,10.49
2013-10-31,29.89,$3.64,8.22
2013-07-31,20.92,$2.78,7.52
2013-04-30,17.96,$0.79,22.67
2013-01-31,11.15,$2.01,5.54
2012-10-31,10.28,$-1.91,0.0
2012-07-31,12.12,$-0.44,0.0
2012-04-30,14.67,$3.75,3.91
2012-02-29,16.3,$3.65,4.46
2012-01-31,15.8,$4.55,3.47
2011-11-30,17.75,$2.63,6.75
2011-10-31,17.19,$0.62,27.62
2011-08-31,16.65,$2.95,5.64
2011-07-31,17.96,$3.12,5.75
2011-05-31,20.57,$4.54,4.53
2011-04-30,20.22,$4.01,5.04
2011-02-28,20.78,$-2.61,0.0
2010-11-30,27.41,$0.04,699.25
2010-08-31,20.07,$0.05,405.39
2010-05-31,26.9,$1.07,25.14
2010-02-28,23.17,$2.85,8.12
2009-11-30,27.09,$0.49,55.28
