Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data,Lockheed Martin Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,467.6,,18.68
2024-03-31,454.87,$25.03,18.17
2023-12-31,449.93,$24.80,18.14
2023-09-30,403.14,$22.96,17.56
2023-06-30,450.81,$23.09,19.52
2023-03-31,459.8,$23.90,19.24
2022-12-31,470.21,$23.17,20.29
2022-09-30,371.06,$31.66,11.72
2022-06-30,410.28,$27.21,15.08
2022-03-31,418.53,$26.76,15.64
2021-12-31,334.84,$27.75,12.06
2021-09-30,322.41,$18.38,17.54
2021-06-30,350.94,$17.76,19.77
2021-03-31,340.42,$20.91,16.28
2020-12-31,324.49,$22.82,14.22
2020-09-30,347.88,$21.99,15.82
2020-06-30,329.19,$24.42,13.48
2020-03-31,303.88,$22.83,13.31
2019-12-31,346.85,$20.53,16.89
2019-09-30,345.33,$23.67,14.59
2019-06-30,320.02,$16.06,19.92
2019-03-31,262.52,$9.89,26.54
2018-12-31,227.39,$6.49,35.06
2018-09-30,298.26,$3.78,78.83
2018-06-30,253.12,$9.03,28.04
2018-03-31,287.7,$14.57,19.75
2017-12-31,271.79,$18.23,14.9
2017-09-30,261.04,$15.73,16.59
2017-06-30,232.17,$14.13,16.43
2017-03-31,222.35,$13.81,16.1
2016-12-31,206.28,$13.61,15.15
2016-09-30,196.51,$15.56,12.63
2016-06-30,202.04,$16.15,12.51
2016-03-31,179.1,$15.52,11.54
2015-12-31,174.26,$13.23,13.18
2015-09-30,165.16,$8.50,19.43
2015-06-30,147.02,$6.65,22.11
2015-03-31,159.25,$5.85,27.23
2014-12-31,149.98,$9.37,16.01
2014-09-30,141.24,$13.07,10.81
2014-06-30,123.26,$12.69,9.72
2014-03-31,124.17,$11.44,10.85
2013-12-31,112.16,$11.36,9.87
2013-09-30,95.35,$4.21,22.66
2013-06-30,80.32,$6.30,12.76
2013-03-31,70.72,$6.95,10.17
2012-12-31,66.75,$1.88,35.41
2012-09-30,66.72,$9.02,7.39
2012-06-30,61.54,$6.05,10.17
2012-03-31,62.74,$6.10,10.29
2011-12-31,55.86,$9.61,5.81
2011-09-30,49.51,$6.96,7.12
2011-06-30,54.63,$6.86,7.96
2011-03-31,53.73,$7.79,6.9
2010-12-31,46.28,$7.40,6.25
2010-09-30,46.68,$5.64,8.28
2010-06-30,48.35,$7.84,6.16
2010-03-31,53.59,$7.33,7.31
2009-12-31,48.13,$5.97,8.06
