Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data,Essex Property Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,278.22,,36.66
2024-03-31,244.81,$7.59,32.26
2023-12-31,245.45,$14.10,17.41
2023-09-30,208.02,$15.75,13.21
2023-06-30,227.31,$15.34,14.82
2023-03-31,200.91,$15.26,13.16
2022-12-31,201.31,$14.15,14.23
2022-09-30,227.73,$11.84,19.23
2022-06-30,243.61,$11.39,21.39
2022-03-31,319.16,$11.67,27.35
2021-12-31,323.36,$13.49,23.96
2021-09-30,291.8,$14.21,20.53
2021-06-30,272.04,$14.54,18.71
2021-03-31,244.8,$17.06,14.35
2020-12-31,212.21,$7.37,28.81
2020-09-30,177.91,$6.95,25.59
2020-06-30,200.97,$6.03,33.31
2020-03-31,191.38,$2.43,78.63
2019-12-31,259.05,$8.32,31.14
2019-09-30,279.44,$10.46,26.7
2019-06-30,248.26,$10.70,23.2
2019-03-31,244.32,$8.52,28.67
2018-12-31,205.74,$7.27,28.3
2018-09-30,207.0,$5.80,35.7
2018-06-30,199.06,$4.79,41.54
2017-12-31,197.87,$7.36,26.89
2017-09-30,206.74,$7.71,26.8
2017-06-30,207.94,$7.79,26.7
2017-03-31,185.89,$7.85,23.67
2016-12-31,185.27,$7.63,24.29
2016-09-30,176.22,$8.53,20.67
2016-06-30,179.22,$8.09,22.14
2016-03-31,182.45,$5.92,30.8
2015-12-31,185.51,$3.17,58.51
2015-09-30,172.1,$3.44,49.97
2015-06-30,162.6,$-1.62,0.0
2015-03-31,174.74,$-2.11,0.0
2014-12-31,156.06,$0.27,577.37
2014-09-30,134.19,$-3.68,0.0
2014-06-30,137.83,$0.23,602.65
2014-03-31,125.86,$2.37,53.0
2013-12-31,105.44,$-1.42,0.0
2013-09-30,107.62,$-6.16,0.0
2013-06-30,114.87,$-7.59,0.0
2013-03-31,108.0,$-8.56,0.0
2012-12-31,104.34,$-4.93,0.0
2012-09-30,104.69,$1.64,63.77
2012-06-30,107.9,$3.14,34.4
2012-03-31,105.43,$3.24,32.52
2011-12-31,97.06,$1.62,60.03
2011-09-30,82.31,$-9.36,0.0
2011-06-30,91.97,$-13.35,0.0
2011-03-31,83.64,$-10.45,0.0
2010-12-31,76.39,$-9.89,0.0
2010-09-30,72.54,$1.32,54.88
2018-03-31,198.83,$2.45,81.25
2010-06-30,64.04,$0.22,286.52
2010-03-31,58.47,$0.88,66.47
2009-12-31,53.75,$1.52,35.43
