Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data,Alexandria Real Estate Equities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,116.56,,0.0
2024-03-31,128.91,$-3.73,0.0
2023-12-31,125.52,$-5.02,0.0
2023-09-30,98.15,$-11.17,0.0
2023-06-30,109.9,$-11.57,0.0
2023-03-31,120.31,$-13.43,0.0
2022-12-31,138.19,$-24.10,0.0
2022-09-30,131.89,$-31.53,0.0
2022-06-30,135.29,$-35.56,0.0
2022-03-31,186.22,$-42.68,0.0
2021-12-31,205.14,$-42.88,0.0
2021-09-30,174.9,$-31.28,0.0
2021-06-30,165.58,$-34.34,0.0
2021-03-31,148.62,$-28.65,0.0
2020-12-31,160.16,$-18.87,0.0
2020-09-30,142.89,$-28.49,0.0
2020-06-30,143.95,$-25.99,0.0
2020-03-31,120.81,$-27.28,0.0
2019-12-31,141.41,$-26.52,0.0
2019-09-30,133.95,$-17.15,0.0
2019-06-30,121.89,$-13.69,0.0
2019-03-31,122.29,$-14.20,0.0
2018-12-31,98.19,$-13.30,0.0
2018-09-30,106.27,$-13.74,0.0
2018-06-30,105.79,$-12.81,0.0
2018-03-31,103.96,$-12.09,0.0
2017-12-31,107.91,$-11.98,0.0
2017-09-30,97.64,$-18.91,0.0
2017-06-30,98.15,$-18.99,0.0
2017-03-31,89.41,$-16.63,0.0
2016-12-31,89.23,$-13.73,0.0
2016-09-30,86.67,$-5.32,0.0
2016-06-30,81.9,$-5.43,0.0
2016-03-31,71.34,$-5.22,0.0
2015-12-31,70.31,$-4.76,0.0
2015-09-30,65.33,$-4.52,0.0
2015-06-30,66.88,$-2.57,0.0
2015-03-31,74.33,$-2.15,0.0
2014-12-31,66.77,$-2.95,0.0
2014-09-30,55.04,$-3.97,0.0
2014-06-30,57.38,$-4.92,0.0
2014-03-31,53.13,$-4.60,0.0
2013-12-31,46.13,$-3.66,0.0
2013-09-30,45.81,$-2.98,0.0
2013-06-30,46.66,$-2.27,0.0
2013-03-31,49.89,$-2.72,0.0
2012-12-31,48.31,$-4.01,0.0
2012-09-30,50.82,$-4.29,0.0
2012-06-30,49.91,$-4.31,0.0
2012-03-31,49.83,$-8.72,0.0
2011-12-31,46.68,$-7.92,0.0
2011-09-30,41.25,$-7.49,0.0
2011-06-30,51.62,$-8.90,0.0
2011-03-31,51.68,$-4.49,0.0
2010-12-31,48.28,$-4.60,0.0
2010-09-30,45.85,$-5.30,0.0
2010-06-30,41.3,$-4.76,0.0
2010-03-31,43.81,$-4.40,0.0
2009-12-31,41.45,$-5.65,0.0
