Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data,Air Products And Chemicals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,272.91,,0.0
2024-03-31,242.27,$-11.61,0.0
2023-12-31,271.81,$-9.42,0.0
2023-09-30,279.56,$-6.27,0.0
2023-06-30,293.66,$-3.43,0.0
2023-03-31,279.94,$-0.37,0.0
2022-12-31,298.64,$0.26,1165.65
2022-09-30,224.29,$1.30,171.91
2022-06-30,230.15,$1.46,157.92
2022-03-31,237.58,$1.97,120.72
2021-12-31,287.38,$4.13,69.66
2021-09-30,240.72,$4.08,58.95
2021-06-30,268.82,$6.68,40.26
2021-03-31,261.53,$3.72,70.29
2020-12-31,252.63,$3.21,78.62
2020-09-30,274.07,$3.76,72.88
2020-06-30,221.18,$2.43,91.05
2020-03-31,181.84,$4.69,38.76
2019-12-31,212.64,$4.38,48.5
2019-09-30,199.77,$4.47,44.66
2019-06-30,202.77,$3.52,57.59
2019-03-31,170.18,$3.55,47.87
2018-12-31,141.77,$4.37,32.42
2018-09-30,147.98,$4.65,31.8
2018-06-30,137.05,$6.57,20.86
2018-03-31,138.97,$7.98,17.42
2017-12-31,142.4,$6.81,20.9
2017-09-30,129.68,$6.97,18.61
2017-06-30,122.68,$6.20,19.8
2017-03-31,115.24,$5.86,19.67
2016-12-31,121.66,$7.15,17.03
2016-09-30,116.3,$6.39,18.19
2016-06-30,109.88,$4.88,22.53
2016-03-31,110.75,$4.72,23.47
2015-12-31,99.44,$4.95,20.09
2015-09-30,96.91,$4.33,22.41
2015-06-30,103.28,$5.83,17.73
2015-03-31,113.51,$4.67,24.31
2014-12-31,107.65,$3.51,30.68
2014-09-30,96.66,$4.06,23.83
2014-06-30,94.95,$2.21,43.02
2014-03-31,87.36,$1.96,44.59
2013-12-31,81.49,$1.49,54.67
2013-09-30,77.21,$0.38,200.65
2013-06-30,65.9,$0.77,85.39
2013-03-31,62.22,$0.85,72.87
2012-12-31,59.52,$0.59,101.57
2012-09-30,58.14,$1.38,42.08
2012-06-30,56.32,$1.61,35.08
2012-03-31,63.52,$1.96,32.45
2011-12-31,58.54,$2.37,24.7
2011-09-30,52.12,$2.22,23.5
2011-06-30,64.76,$2.14,30.2
2011-03-31,60.72,$2.61,23.28
2010-12-31,60.85,$3.19,19.07
2010-09-30,55.11,$2.53,21.81
2010-06-30,42.88,$2.42,17.73
2010-03-31,48.56,$1.82,26.75
2009-12-31,52.88,$0.60,88.39
