Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,140.96,,27.87
2024-03-31,130.09,$5.06,25.72
2023-12-31,131.49,$4.93,26.65
2023-09-30,124.49,$7.84,15.88
2023-06-30,145.64,$6.05,24.08
2023-03-31,143.49,$6.99,20.53
2022-12-31,147.85,$7.02,21.06
2022-09-30,144.81,$6.78,21.36
2022-06-30,161.89,$8.32,19.46
2022-03-31,193.1,$7.80,24.75
2021-12-31,210.49,$7.50,28.08
2021-09-30,170.44,$6.71,25.38
2021-06-30,152.85,$6.38,23.94
2021-03-31,130.11,$5.00,26.03
2020-12-31,113.29,$4.75,23.84
2020-09-30,102.85,$5.42,18.96
2020-06-30,100.82,$5.46,18.45
2020-03-31,89.8,$5.52,16.26
2019-12-31,114.06,$5.79,19.69
2019-09-30,111.64,$3.95,28.28
2019-06-30,100.33,$4.01,25.03
2019-03-31,92.34,$3.20,28.82
2018-12-31,80.03,$3.25,24.62
2018-09-30,82.97,$3.23,25.7
2018-06-30,82.61,$3.85,21.46
2018-03-31,74.12,$3.59,20.67
2017-12-31,80.88,$3.24,24.98
2017-09-30,85.28,$3.21,26.57
2017-06-30,83.35,$2.86,29.15
2017-03-31,79.8,$3.21,24.85
2016-12-31,76.11,$3.28,23.22
2016-09-30,72.37,$4.48,16.14
2016-06-30,81.31,$4.45,18.26
2016-03-31,77.47,$6.13,12.63
2015-12-31,68.2,$6.57,10.39
2015-09-30,60.92,$3.89,15.67
2015-06-30,53.63,$4.48,11.96
2015-03-31,56.34,$1.98,28.39
2014-12-31,53.93,$2.82,19.11
2014-09-30,46.89,$3.73,12.57
2014-06-30,51.66,$3.42,15.1
2014-03-31,47.76,$5.35,8.92
2013-12-31,42.0,$3.38,12.42
2013-09-30,42.74,$4.75,8.99
2013-06-30,45.87,$-0.31,0.0
2013-03-31,46.28,$-2.60,0.0
2012-12-31,42.94,$-1.31,0.0
2012-09-30,42.86,$-4.16,0.0
2012-06-30,44.35,$-2.01,0.0
2012-03-31,43.13,$-4.38,0.0
2011-12-31,39.82,$-5.93,0.0
2011-09-30,37.93,$-5.05,0.0
2011-06-30,42.12,$-7.01,0.0
2011-03-31,39.68,$-5.37,0.0
2010-12-31,38.84,$-2.93,0.0
2010-09-30,35.3,$-4.71,0.0
2010-06-30,30.82,$-1.10,0.0
2010-03-31,30.65,$0.84,36.68
2009-12-31,28.21,$-0.15,0.0
