J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data,J.B Hunt Transport Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,156.18,,48.24
2024-03-31,198.75,$3.24,61.39
2023-12-31,198.84,$1.38,143.82
2023-09-30,187.21,$2.07,90.43
2023-06-30,179.41,$3.84,46.76
2023-03-31,173.48,$4.28,40.52
2022-12-31,172.01,$3.28,52.49
2022-09-30,153.95,$2.16,71.29
2022-06-30,154.64,$1.20,128.52
2022-03-31,196.72,$0.67,293.97
2021-12-31,199.85,$3.25,61.41
2021-09-30,163.25,$4.87,33.51
2021-06-30,158.79,$5.19,30.61
2021-03-31,163.5,$6.37,25.65
2020-12-31,132.67,$4.89,27.13
2020-09-30,122.44,$4.86,25.21
2020-06-30,116.35,$6.10,19.08
2020-03-31,88.94,$4.56,19.5
2019-12-31,112.34,$3.79,29.66
2019-09-30,106.21,$3.34,31.76
2019-06-30,87.52,$1.46,59.78
2019-03-31,96.71,$1.44,67.18
2018-12-31,88.62,$1.83,48.36
2018-09-30,113.05,$2.02,56.1
2018-06-30,115.3,$2.17,53.08
2018-03-31,110.9,$2.11,52.53
2017-12-31,108.62,$3.10,35.0
2017-09-30,104.71,$3.22,32.51
2017-06-30,85.92,$3.87,22.23
2017-03-31,86.03,$3.32,25.91
2016-12-31,90.82,$3.25,27.91
2016-09-30,75.71,$3.29,22.99
2016-06-30,75.31,$3.31,22.79
2016-03-31,78.18,$3.42,22.89
2015-12-31,67.88,$2.71,25.01
2015-09-30,65.89,$2.12,31.07
2015-06-30,75.56,$1.64,46.14
2015-03-31,78.41,$0.85,91.91
2014-12-31,77.16,$-0.11,0.0
2014-09-30,67.65,$0.51,131.52
2014-06-30,67.24,$-0.02,0.0
2014-03-31,65.37,$0.35,188.99
2013-12-31,70.07,$1.10,63.46
2013-09-30,65.97,$0.99,66.88
2013-06-30,65.22,$1.42,45.8
2013-03-31,67.1,$1.73,38.8
2012-12-31,53.79,$1.49,36.2
2012-09-30,46.65,$1.35,34.47
2012-06-30,53.29,$1.52,35.06
2012-03-31,48.49,$1.88,25.75
2011-12-31,40.09,$1.56,25.75
2011-09-30,32.03,$1.47,21.75
2011-06-30,41.64,$1.55,26.82
2011-03-31,40.05,$1.48,27.09
2010-12-31,35.88,$1.58,22.68
2010-09-30,30.41,$1.99,15.27
2010-06-30,28.53,$1.58,18.06
2010-03-31,31.23,$0.98,31.84
2009-12-31,27.98,$0.89,31.46
